record_id,study_id,year,design,population_status,include_tier,endpoint_definition,timepoint_type,followup_summary,arm_id,analysis_node,node_5,node_3,treatment_label,total,local_control_events,local_failure_events,local_control_pct,source_page_or_table,source_evidence,notes
SCR00002,Jarczak 2026,2026,Retrospective comparative cohort,Mixed uveal; choroidal percentage not clearly reported,core_crude_uveal_relaxed,crude local control at last follow-up,crude_at_followup,Mean follow-up 88.63 months; median 89 months; range 20-127,brachytherapy,Brachytherapy,,Brachytherapy,Brachytherapy,227,204,23,89.87,Table 3 / Treatment outcomes,"Local tumor control rates were 88.51% Ru-106 CCB, 89.47% Ru-106 COB, 91.18% I-125, and 93.15% proton therapy.",Sensitivity only under current choroidal-only eligibility rule.
SCR00002,Jarczak 2026,2026,Retrospective comparative cohort,Mixed uveal; choroidal percentage not clearly reported,core_crude_uveal_relaxed,crude local control at last follow-up,crude_at_followup,Mean follow-up 88.63 months; median 89 months; range 20-127,proton,Proton,,Proton,Proton,73,68,5,93.15,Table 3 / Treatment outcomes,"Local tumor control rates were 88.51% Ru-106 CCB, 89.47% Ru-106 COB, 91.18% I-125, and 93.15% proton therapy.",Sensitivity only under current choroidal-only eligibility rule.
SCR00036,Murtagh 2026,2026,Retrospective comparative cohort from prospectively maintained database,Choroidal-only,core_crude_choroidal,crude local control at last follow-up,crude_at_followup,"Mean follow-up 76.9 months; treatment-group means 85.6, 77.5, and 65.0 months",brachytherapy,Brachytherapy,,Brachytherapy,Brachytherapy,247,237,10,95.95,Results / Tumour control section,"Local tumour control was achieved in 95.8%; recurrence rates were 4.0%, 4.2%, and 4.8% for Ru-106, I-125, and PBR, respectively.","Excluded from strict primary only because outcome is crude, not 5-year actuarial/KM."
SCR00036,Murtagh 2026,2026,Retrospective comparative cohort from prospectively maintained database,Choroidal-only,core_crude_choroidal,crude local control at last follow-up,crude_at_followup,"Mean follow-up 76.9 months; treatment-group means 85.6, 77.5, and 65.0 months",proton,Proton,,Proton,Proton,63,60,3,95.24,Results / Tumour control section,"Local tumour control was achieved in 95.8%; recurrence rates were 4.0%, 4.2%, and 4.8% for Ru-106, I-125, and PBR, respectively.","Excluded from strict primary only because outcome is crude, not 5-year actuarial/KM."
SCR00062,Kim 2025,2025,Retrospective comparative cohort with propensity score matching,Choroidal-only,strict_5y_km_not_crude,5-year Kaplan-Meier local failure converted to local control,kaplan_meier_5y,Median follow-up 70.2 months for CIRT and 51.9 months for SABR,carbon_ion,Carbon ion,,Carbon ion,Carbon ion,192,181,11,94.27,Results,5-year local failure rate 5.6% for CIRT.,"Connects Carbon ion to Photon in original FIG6, but it is not crude follow-up local control."
SCR00201,Grajewski 2025,2025,Retrospective case series,Mixed uveal unclear choroidal proportion,core_crude_uveal_relaxed,crude local control,crude_at_followup,"Mean follow-up 66 months, range 6-136",brachytherapy,Brachytherapy,,Brachytherapy,Brachytherapy,112,96,16,85.71,Page 5,"Overall, the local tumor control rate was 85.7% (48/56).","Crude follow-up control, not 5-year actuarial local control; choroidal-only proportion unclear."
SCR00328,Wu 2023,2023,Retrospective chart review,Choroidal-only,core_crude_choroidal,crude local recurrence converted to local control,crude_at_followup,"Median ocular follow-up 6.9 years, range 1.0-30.2; median survival follow-up 13.7 years",proton,Proton,,Proton,Proton,222,219,3,98.65,Page 3,Tumor recurrence was diagnosed in 3 patients (1.4%),Crude recurrence count; no 5-year local-recurrence estimate reported.
SCR00555,Cennamo 2021,2021,Retrospective cohort,choroidal-dominant mixed uveal above 85 percent threshold,core_crude_choroidal,crude local recurrence converted to local control,crude_at_followup,"Mean 4 years, range 3 months to 9 years",brachytherapy,Brachytherapy,,Brachytherapy,Brachytherapy,350,347,3,99.14,Results and Table 1,Tumor recurrence was found in three patients at 3 years after the treatment; Table 1: Tumor recurrence 3 (1),"Reported as 3 recurrences at 3 years, not 5-year KM/actuarial local recurrence."
SCR00581,Guleser 2022,2022,Retrospective comparative cohort,choroidal-dominant mixed uveal above 85 percent threshold,core_crude_choroidal,crude local recurrence converted to local control,crude_at_followup,"GKRS median 56 months, range 30-90; IBT median 45 months, range 30-73",brachytherapy,Brachytherapy,,Brachytherapy,Brachytherapy,201,187,14,93.03,Results and Table 2,Local recurrence developed ... in 14 patients (7%) in the IBT group,"Crude endpoint, not 5-year KM/actuarial local recurrence."
SCR00780,Espensen 2020,2020,Retrospective cohort dose-response analysis,choroidal-only,core_crude_choroidal,crude local recurrence converted to local control,crude_at_followup,Median follow-up 5.0 years,brachytherapy,Brachytherapy,,Brachytherapy,Brachytherapy,226,176,50,77.88,"Page 4, Table 1",Fifty (22%) experienced local recurrence.,"Crude recurrence count over variable follow-up, not 5-year KM local recurrence."
SCR00886,Toutee 2019,2019,Retrospective cohort from prospective institutional database,choroidal-dominant mixed uveal above 85 percent threshold,core_crude_choroidal,crude local control,crude_at_followup,"Median follow-up 10.2 years, range 5.1-23",proton,Proton,,Proton,Proton,424,424,0,100.0,Pages 3-4,All T1UM patients with at least 5 years of follow-up were included; no ocular recurrence was observed.,
SCR00929,Fili 2020,2020,Retrospective comparative registry cohort,choroidal-only,proxy_not_core,crude local recurrence converted to local control,crude_at_followup,Mean follow-up 8.0 years for Ru-106 and 7.9 years for I-125 arms,brachytherapy,Brachytherapy,,Brachytherapy,Brachytherapy,435,418,17,96.09,Page 3,3 out of 254 patients (1%) that had undergone primary brachytherapy with 125I underwent a second round.,"Retreatment proxy over variable follow-up, not 5-year local recurrence/control."
