Study,Year,Test_arm,AI_algorithm,Number_of_human_readers,Reader_experience_yrs,Reader_age,Reader_sex_female_pct,Validation_type,Reference_standard,Threshold_cutoff,Unit,Imaging_modality,Scan_target
David (2023),2023,Ensemble CNN + SBEFCM (LAG),Ensemble CNN (AlexNet-based transfer learning) + SBEFCM segmentation,n/r,n/r,n/r,n/r,internal,LAG dataset expert labels (Beijing Tongren Hospital / CGSA),n/r,image,fundus,ONH (optic disc and cup)
David (2023),2023,Ensemble CNN + SBEFCM (RIM-ONE),Ensemble CNN (AlexNet-based transfer learning) + SBEFCM segmentation,n/r,n/r,n/r,n/r,internal,RIM-ONE dataset expert labels,n/r,image,fundus,ONH (optic disc and cup)
David (2023),2023,Ensemble CNN + SBEFCM (local retinal glaucoma dataset),Ensemble CNN (AlexNet-based transfer learning) + SBEFCM segmentation,n/r,n/r,n/r,n/r,internal,local dataset labels (Normal/Early/Moderate/Advanced glaucoma),n/r,image,fundus,ONH (optic disc and cup)
Balasubramanian (2018),2018,Proposed KNN + PCA (HRF),"K-Nearest Neighbor classifier with Haar DWT + GLCM (homogeneity, correlation) features and PCA reduction",n/r,n/r,n/r,n/r,internal,HRF database binary gold-standard annotations by clinicians/ophthalmology experts,n/r,image,fundus,ONH
Balasubramanian (2018),2018,Proposed KNN + PCA (RIMONE),"K-Nearest Neighbor classifier with Haar DWT + GLCM (homogeneity, correlation) features and PCA reduction",n/r,n/r,n/r,n/r,internal,RIMONE database manual reference segmentations (5 expert segmentations per image),n/r,image,fundus,ONH
Singh (2024),2024,GWO-CatBoost,Grey Wolf Optimizer feature selection + CatBoost classifier,n/r,n/r,n/r,n/r,internal,ORIGA dataset ground-truth labels,n/r,image,fundus,ONH
Singh (2024),2024,GWO-Random Forest,Grey Wolf Optimizer feature selection + Random Forest classifier,n/r,n/r,n/r,n/r,internal,ORIGA dataset ground-truth labels,n/r,image,fundus,ONH
Singh (2024),2024,WOA-SVM,Whale Optimization Algorithm feature selection + SVM classifier,n/r,n/r,n/r,n/r,internal,ORIGA dataset ground-truth labels,n/r,image,fundus,ONH
Singh (2024),2024,WOA-Random Forest,Whale Optimization Algorithm feature selection + Random Forest classifier,n/r,n/r,n/r,n/r,internal,ORIGA dataset ground-truth labels,n/r,image,fundus,ONH
Singh (2024),2024,hGWWOA-Ensemble,Hybrid GWO-WOA feature selection + Ensemble classifier (LR+XgBoost+RF+CatBoost+SVM),n/r,n/r,n/r,n/r,internal,ORIGA dataset ground-truth labels,n/r,image,fundus,ONH
Singh (2024),2024,hGWWOA-Random Forest,Hybrid GWO-WOA feature selection + Random Forest classifier,n/r,n/r,n/r,n/r,internal,ORIGA dataset ground-truth labels,n/r,image,fundus,ONH
Christopher (2018),2018,VGG16 - Native,VGG16 (randomly initialized),n/r,n/r,n/r,n/r,internal,Expert grader adjudication of stereoscopic fundus photographs,n/r,image,fundus,ONH
Christopher (2018),2018,VGG16 - Transfer Learning,VGG16 (ImageNet pre-trained),n/r,n/r,n/r,n/r,internal,Expert grader adjudication of stereoscopic fundus photographs,n/r,image,fundus,ONH
Christopher (2018),2018,Inception v3 - Native,Inception v3 (randomly initialized),n/r,n/r,n/r,n/r,internal,Expert grader adjudication of stereoscopic fundus photographs,n/r,image,fundus,ONH
Christopher (2018),2018,Inception v3 - Transfer Learning,Inception v3 (ImageNet pre-trained),n/r,n/r,n/r,n/r,internal,Expert grader adjudication of stereoscopic fundus photographs,n/r,image,fundus,ONH
Christopher (2018),2018,ResNet50 - Native,ResNet50 (randomly initialized),n/r,n/r,n/r,n/r,internal,Expert grader adjudication of stereoscopic fundus photographs,n/r,image,fundus,ONH
Christopher (2018),2018,ResNet50 - Transfer Learning (best),ResNet50 (ImageNet pre-trained),n/r,n/r,n/r,n/r,internal,Expert grader adjudication of stereoscopic fundus photographs,95% specificity (88% sensitivity for moderate-to-severe GON),image,fundus,ONH
Deperlioglu (2022),2022,"CAM-supported CNN (Drishti-GS, 80/20 split)",8-layer CNN with CAM,n/r,n/r,n/r,n/r,internal,"Drishti-GS expert annotations (4 glaucoma experts, 3/5/9/20 yrs experience)",softmax,image,fundus,ONH / full retina
Deperlioglu (2022),2022,"CAM-supported CNN (ORIGA-Light, 80/20 split)",8-layer CNN with CAM,n/r,n/r,n/r,n/r,internal,ORIGA-Light expert annotations (SIMES study),softmax,image,fundus,ONH / full retina
Deperlioglu (2022),2022,"CAM-supported CNN (HRF, 80/20 split)",8-layer CNN with CAM,n/r,n/r,n/r,n/r,internal,HRF expert annotations,softmax,image,fundus,ONH / full retina
Deperlioglu (2022),2022,Human doctors (manual diagnosis comparison),n/a (human readers),15,13,40,26.7,internal,"dataset ground-truth labels (Drishti-GS, ORIGA-Light, HRF)",n/r,image,fundus,ONH / full retina
Ajesh (2020),2020,Jaya-CSO + RNN,Recurrent Neural Network (RNN) trained with Jaya-Chicken Swarm Optimization,n/r,n/r,n/r,n/r,internal,HRF database labels (clinical diagnosis),n/r,image,fundus,ONH
Hussein (2026),2026,CNN-MLP (proposed),ResNet50 + LBP/HOG/SURF + CDR + mRMR + MLP,n/r,n/r,n/r,n/r,internal,Dataset ground-truth labels,n/r,image,fundus,ONH
Hussein (2026),2026,CNN-GRU,ResNet50 + LBP/HOG/SURF + CDR + mRMR + GRU,n/r,n/r,n/r,n/r,internal,Dataset ground-truth labels,n/r,image,fundus,ONH
Hussein (2026),2026,CNN-SVM,ResNet50 + LBP/HOG/SURF + CDR + mRMR + SVM (RBF kernel),n/r,n/r,n/r,n/r,internal,Dataset ground-truth labels,n/r,image,fundus,ONH
Hussein (2026),2026,Random Forest,ResNet50 features + handcrafted + mRMR + RF,n/r,n/r,n/r,n/r,internal,Dataset ground-truth labels,n/r,image,fundus,ONH
