study_id,author_year,custom_tool_name,patient_selection_consecutive_or_random,patient_selection_case_control_avoided,patient_selection_inappropriate_exclusions_avoided,patient_selection_risk_of_bias,index_test_blinded_to_reference,index_test_threshold_prespecified_or_structured,index_test_interpretation_protocol_standardized,index_test_risk_of_bias,reference_standard_correctly_classifies_target_condition,reference_standard_blinded_to_index,reference_standard_risk_of_bias,flow_timing_appropriate_interval,flow_timing_same_reference_standard,flow_timing_all_patients_included_in_analysis,flow_timing_risk_of_bias,applicability_patient_selection,applicability_index_test,applicability_reference_standard,overall_applicability,overall_risk_of_bias,quadas3_summary_notes
Panzarella_2024,Panzarella 2024,Custom QUADAS-3 row-wise,Yes (consecutive recruitment reported),Yes,Yes,Low,Yes (observers blinded to histology/clinical),Yes (structured OCT patterns),Yes,Low,Yes (targeted histopathology),Yes (blinded pathologist),Low,Yes,Yes,Yes,Low,Low,Low,Low,Low,Low,"Strong study for site-matched OCT-histology protocol, but selected-image lesion-level design limits patient-level applicability."
Yuan_2022,Yuan 2022,Custom QUADAS-3 row-wise,Unclear,Yes,Unclear,High / unclear,Not applicable (AI model on annotated images),No clear clinical threshold,Yes for model workflow,Unclear / moderate,"Partially (pathologist labels used, but exact co-registration details limited)",Unclear,Unclear / moderate,Unclear,Unclear,"Yes for included images, but image-level split only",High / unclear,High for patient-selection applicability to clinical review,Moderate,High / unclear,High,High,"Excellent engineering/model paper, but ex vivo image-level design and limited site-matching detail reduce clinical DTA applicability."
James_2021,James 2021,Custom QUADAS-3 row-wise,Yes,Yes,Yes,Low to moderate,Partly (algorithm / ANN vs histology; visual scorer not central),Yes for algorithm-score; ROC cut-offs for ANN,Yes,Low to moderate,"Partial (histology mainly, but clinical diagnosis used when biopsy not indicated)",Unclear,Moderate,Yes for biopsied lesions (10-15 min),No (histology or clinical diagnosis both used),No (17 excluded due to no biopsy; some non-biopsied lesions retained clinically),Moderate to high,Moderate,Low,Moderate to high,Moderate,Moderate,"Important in vivo validation study, but mixed reference standard (histology + clinical diagnosis) makes it less clean for histopathology-only meta-analysis."
Ridgway_2006,Ridgway 2006,Custom QUADAS-3 row-wise,Unclear,Yes,Unclear,High,Unclear,No,Yes,High,Partial,Unclear,Moderate,Yes,Yes,Unclear,High,High,High,High,High,High,Descriptive feasibility study; not a formal DTA cohort.
Tsai_2008,Tsai 2008,Custom QUADAS-3 row-wise,Unclear,Yes,Unclear,Moderate,Unclear,Yes,Yes,Moderate,Partial,Unclear,Moderate,Yes,Yes,Yes,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,"Quantitative thresholds reported, but controls not biopsied and same-site matching limited."
WilderSmith_2009,Wilder-Smith 2009,Custom QUADAS-3 row-wise,Yes,Yes,Unclear,Low,Yes,Yes,Yes,Low,Yes,Unclear,Low,Yes,Yes,Yes,Moderate,Low,Low,Low,Low,Low,Strong in vivo DTA design with blinding; some exact matching details limited.
Lee_2012,Lee 2012,Custom QUADAS-3 row-wise,Unclear,Yes,Unclear,Moderate,Unclear,Yes,Yes,Moderate,Yes,Unclear,Moderate,Yes,Yes,Unclear,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,"Useful image-analysis study, but OCT/biopsy locations not exactly identical."
Hamdoon_2013,Hamdoon 2013,Custom QUADAS-3 row-wise,Yes,Yes,Unclear,Low,Yes,Yes,Yes,Moderate,Yes,Unclear,Low,Yes,Yes,Yes,Low,High,High,High,High,Moderate,"Immediate ex vivo same-specimen design supports reference alignment, but applicability to in vivo screening is limited."
Heidari_2018,Heidari 2018,Custom QUADAS-3 row-wise,Unclear,Yes,Unclear,Moderate,Unclear,Yes,Yes,Moderate,Yes,Unclear,Moderate,Yes,Yes,Unclear,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Pilot low-resource study with small sample and mixed lesion categories.
Jerjes_2019,Jerjes 2019,Custom QUADAS-3 row-wise,Yes,Yes,Unclear,Low,Unclear,Yes,Yes,Moderate,Yes,Unclear,Low,Yes,Yes,Yes,Low,High,High,High,High,Moderate,Ex vivo resection-margin study; good co-registration but not directly applicable to in vivo lesion diagnosis.
Sunny_2019,Sunny 2019,Custom QUADAS-3 row-wise,Yes,Yes,Unclear,Low,Yes,Yes,Yes,Low,Yes,Yes,Low,Yes,Yes,Yes,Low,Moderate,Moderate,Moderate,Moderate,Low,Strong site-level intraoperative design; applicability limited to surgical field-setting rather than community screening.
Obade_2021,Obade 2021,Custom QUADAS-3 row-wise,Unclear,Yes,Unclear,Moderate,Yes,No,Yes,Moderate,Yes,Unclear,Low,Yes,Yes,Yes,Moderate,High,High,High,High,Moderate,Ex vivo biopsy comparison with observer-agreement emphasis rather than formal DTA.
Yang_2022,Yang 2022,Custom QUADAS-3 row-wise,Unclear,Yes,Unclear,High,Not applicable,No clear clinical threshold,Yes,Moderate,Yes,Unclear,Moderate,Yes,Yes,Yes,High,High,High,High,High,High,Ex vivo image-level AI paper with internal split only and multiclass engineering objective.
Heidari_2020_JBiophotonics,Heidari et al. 2020,Custom QUADAS-3 style,Unclear,No,Unclear,High/unclear,Unclear,No,Yes,High/unclear,Yes,Unclear,Low to moderate,Yes,Yes,No / partial,High/unclear,High,High,Moderate,High,High,"Fresh ex vivo head-and-neck margin study with small sample, non-oral-only population, selected co-registered volumes, and internal-only CNN development; useful exploratory evidence but limited applicability to primary oral in-vivo diagnostic review."
Hamdoon_2016,Hamdoon 2016,Custom QUADAS-3 row-wise,Yes (28 consecutive patients),Yes,Mostly yes,Low to moderate,Partly (single blind style reported; readers had brief clinical history),"Yes (structured morphologic criteria, no numeric threshold)",Yes,Moderate,Yes,Unclear,Low,Yes (within 1 hour ex vivo),Yes,Yes,Low,Moderate (OSCC margins only),Moderate (ex vivo margin workflow),Low concern,Moderate,Moderate,"Good same-specimen reference standard and direct 2x2 tables, but ex vivo margin design and reader access to brief clinical history limit applicability to in vivo primary detection."
Yang_2020_Attenuation,Yang 2020,Custom QUADAS-3 row-wise,Unclear consecutive recruitment of tissue samples,No / unclear (selected ex vivo cancer and non-cancer images),Unclear,High / unclear,Not applicable for automated model after pathologist labeling,Yes (4.7 mm^-1 chosen on training data),Yes,Moderate,Yes,Unclear,Low to moderate,Yes (immediate ex vivo then histology),Yes,Unclear (image selection/ROI segmentation),Moderate,High concern (ex vivo image-level selected dataset),Moderate,Low concern,Moderate to high concern,Moderate to high,"Well-described quantitative index and internal validation, but ex vivo selected image-level design and unclear patient/image sampling raise bias and applicability concerns."
Yang_2023_Biomedicines,Yang 2023,Custom QUADAS-3 row-wise,Unclear consecutive patient inclusion,No / mixed selected ex vivo classes,Unclear,High / unclear,Not applicable for trained AI after labeled data generation,Yes (predefined model architectures and evaluation metrics),Yes,Moderate,Yes (experienced pathologist on H&E),Unclear,Low to moderate,Yes (scan then fix/stain),Yes,Unclear (ROI selection and discarded low-quality regions),Moderate,High concern (ex vivo ROI study),Moderate to high concern,Low concern,High concern,Moderate to high,Engineering-focused ex vivo multiclass ROI study with good pathology confirmation but limited applicability to primary clinical DTA question.
Yuan_2023_OralDiseases,Yuan 2023,Custom QUADAS-3 row-wise,Consecutive/clinical sample collection not fully explicit,Partly / selected malignant and benign resected tissues,Unclear,Moderate to high,Not applicable for AI training after label assignment,Yes (predefined model workflow),Yes,Moderate,Yes,Unclear,Low to moderate,Yes,Yes,Unclear (mixed patients in train/test acknowledged),Moderate,High concern (ex vivo patch/image study),Moderate to high concern,Low concern,High concern,Moderate to high,"Strong model reporting but ex vivo design, possible patient mixing between train/test at image level, and absence of external validation limit applicability."
Zhou_2024_BMC,Zhou 2024,Custom QUADAS-3 row-wise,Consecutive surgical specimens not explicitly stated,"Partly (selected excised cancerous, para-cancerous and normal specimens)",Unclear,Moderate to high,MGV measured by two researchers; blinding to pathology not clearly stated,Yes (Youden-index threshold reported),Yes,Moderate,Yes,Unclear,Low to moderate,Yes,Yes,Mostly yes,Low to moderate,High concern (tongue-only ex vivo specimens),Moderate,Low concern,Moderate to high concern,Moderate,"Excellent marked-location histology matching and quantitative threshold, but ex vivo tongue-only ROI-level design limits applicability."
