Study,Year,Country,Continent,Setting,Design,N_total,N_glaucoma,N_nonglaucoma,Age_mean,Sex_female_pct,Imaging_modality,AI_system,Reference_standard,Validation_type,Vendor_involvement,Glaucoma_target,Prevalence_pct
David (2023),2021,China,Asia,hospital,retrospective,13258,5048,8210,53.6,53.6,fundus,Ensemble CNN with Spatially Based Ellipse Fitting Curve Model (SBEFCM); transfer learning from AlexNet,other,internal (same-source split),no,any,24%
Balasubramanian (2018),2018,mixed,Asia,research,retrospective,120,60,60,,,fundus,"Hybrid features using Haar Discrete Wavelet Transform, GLCM homogeneity and correlation, PCA, and k-nearest neighbor classifier",manual reference segmentations by clinicians/ophthalmology experts (database ground truth),internal,no,any,50
Singh (2024),2023,Singapore,Asia,research,retrospective,646,166,480,,,fundus,"GWO, WOA, and hGWWOA feature selection with Logistic Regression, XGBoost, Random Forest, CatBoost, SVM, and ensemble classifiers",ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,internal,no,any,25.7
Christopher (2018),2018,United States,North America,research,prospective,2329,768,1561,Healthy 53.3 ± 14.4; GON 64.0 ± 12.9,Healthy 63.0; GON 57.0,fundus,"VGG16, Inception v3, and ResNet50 CNNs evaluated in native and ImageNet transfer-learning versions; best-performing model was transfer-learning ResNet50",Stereoscopic fundus photograph review by two masked graders with adjudication by a third experienced grader,internal,no,glaucomatous optic neuropathy,38.0
Deperlioglu (2022),2022,"Mixed public datasets: Drishti-GS, ORIGA-Light (Singapore/SIMES), and HRF; the PDF does not state a single country for all image sources.",mixed,research,retrospective,796,253,543,,,fundus,"XAI-supported 8-layer CNN using HE/CLAHE preprocessing and CAM; A-G-CAM, G-CAM, and ABN variants were evaluated separately by accuracy.","Expert/doctor-labelled public retinal image datasets; Drishti-GS was marked by four glaucoma experts, ORIGA-Light came from clinical eye examinations, and HRF labels/segmentations were created by experts/doctors.",internal,no,any,31.8
Ajesh (2020),2020,India,Asia,research,retrospective,45,15,30,,,fundus,Jaya-CSO + RNN (Jaya-chicken swarm optimization trained recurrent neural network),HRF Image Database diagnostic category labels; exact clinical reference standard not reported,internal,no,any,33.3
Hussein (2026),2026,Saudi Arabia,mixed,research,retrospective,750,532,218,,,fundus,"Hybrid deep learning framework using U-Net OD/OC segmentation, ResNet50 CNN deep features, handcrafted LBP/HOG/SURF features and clinical CDR features, mRMR feature selection, and classifiers MLP, GRU, SVM, Random Forest and KNN; DT is reported as a comparator/baseline.",Public dataset glaucoma/healthy labels and OD/OC segmentation masks; clinical reference standard otherwise not reported,internal,no,any,52.0
Aljohani (2024),2024,Saudi Arabia,Asia,research,retrospective,480,180,300,,,fundus,"Hybrid ensemble glaucoma detection framework using Random Forest with GLCM texture features, ResNet50, VGG-16, and post-processing rule; individual Random Forest, ResNet50, and VGG-16 models also reported","Original glaucoma/normal labels from public fundus datasets ACRIMA, G1020, ORIGA, and REFUGE; underlying clinical reference standard n/r",internal,no,any,37.5
An (2019),2019,Japan,Asia,hospital,cross-sectional,357,208,149,50.85 years,49.6,multimodal,"VGG19 CNN (transfer learning, 5 models) combined via Random Forest (n_trees=10,000)","Unanimous diagnosis by three ophthalmologists; OAG diagnosed from glaucomatous optic neuropathy with corresponding visual field defects, abnormally reduced circumpapillary RNFL thickness, and open angle on gonioscopy; controls had normal OCT measurements and no ocular/systemic disease affecting the visual field, no elevated IOP, and no apparent glaucomatous optic disc.",internal,yes,"Open-angle glaucoma (OAG), including preperimetric glaucoma cases",58.3
Sun (2021),2021,South Korea,Asia,hospital,retrospective,777,462,315,,,OCT,"DICNN (VGG16-based dual-input CNN using RNFL + GCIPL thickness maps); comparators VGG16-RNFL, VGG16-GCIPL, fused-output ensemble","Experienced ophthalmologist diagnosis of POAG based on characteristic optic disc changes on stereoscopic disc photography and RNFL defects on red-free RNFL photographs, with open angles by gonioscopy and Humphrey visual field used for staging/normal control definition",internal,yes,POAG,59.5
Lee (2020),2020,South Korea,Asia,hospital,retrospective,282,86,196,62.5,62.4,OCT,"NASNet-A (large) transfer-learning ensemble classifier using bottleneck features from four SD-OCT maps (GCIPL thickness, GCIPL deviation, RNFL thickness, RNFL deviation) followed by fully connected layers and softmax classification.","Glaucoma diagnosis by characteristic optic disc change on stereo disc photographs and/or RNFL defect on red-free fundus photographs, assessed by masked glaucoma specialists; controls had no IOP elevation, no glaucomatous optic disc/RNFL defects, and normal visual fields.",internal,no,glaucomatous optic neuropathy,30.5
Mrad (2022),2022,Tunisia,Africa,research,retrospective,185 images,96 glaucoma images,89,,,fundus,"SVM classifier with vessel-centroid NRR/rim-thinning and ISNT/vessel-displacement features, using an RBF kernel with gamma=0.1 and C=1","Public dataset labels for DRISHTI-DB/DRISHTI-GS and DRIONS-DB; ophthalmologist-generated ground truth for RIAMP, with suspect cases excluded",internal,no,any,55.9
Gonzalez-Hernandez (2021),2021,Spain,Europe,hospital,cross-sectional,810,333,477,controls 44.56 +/- 13.23; glaucoma 63.63 +/- 11.74,57.7,multimodal,Laguna ONhE fully automated colorimetric optic nerve analysis with five deep learning models including U-Net and ResNet50; GDF index,"Composite clinical diagnosis: glaucomatous visual field loss on standard automated perimetry (PSD or MD <5%) plus signs of glaucomatous neuropathy (Laguna ONhE GDF or OCT rim area <5%); suspects defined by IOP >21 mmHg, family history, dubious optic disc, or borderline visual fields",internal,yes,"chronic open-angle glaucoma, including confirmed and suspected glaucoma",41.1
Singh (2021),2021,India,Asia,research,retrospective,140,70,70,,,fundus,"SVM, KNN, Naive Bayes, and ANN (MLP) classifiers using 20 extracted retinal fundus features including cup-to-disc ratio and ISNT region features",DRIONS-DB ground truth labels,internal,no,any,50
Tabei (2025),2025,USA,North America,research,retrospective,1020,296,724,,,fundus,"SVM with CIE LAB color enhancement and stereo disparity depth mapping (RBF kernel, C=1.0, gamma=0.01)","Clinical diagnosis based on optic nerve head appearance, RNFL defects, IOP, and ISNT rule compliance (G1020 dataset labels)",internal,no,any,29.0
Bhuiyan (2021),2021,United States; Singapore; Spain,mixed,research,retrospective,938,306,632,,,fundus,"Ensemble of 5 CNNs (Xception 71x71 LCA, Xception 250x250 RGB, Inception-Resnet-V2 200x200, NasNet 150x150, Inception-V3 299x299) + Logistic Model Tree","Manual vertical CDR grading using the CDR annotator by two trained graders, with adjudication of disagreements; glaucoma suspect defined as vertical CDR > 0.5 and nonsuspect as vertical CDR <= 0.5",both,yes,other,32.62
Thiry (2023),2023,Singapore,Asia,hospital,cross-sectional,2773,477,2296,nonglaucoma 58.7 ± 10.3; glaucoma 65.9 ± 10.6,nonglaucoma 39; glaucoma 51,OCT,PointNet geometric deep learning; comparator 3D CNN,"clinical diagnosis based on glaucomatous optic neuropathy and/or neuroretinal rim narrowing with repeatable glaucomatous visual field defects; controls had IOP <21 mmHg, healthy optic discs, and normal visual fields",internal,yes,glaucomatous optic neuropathy,17.2
Buisson (2021) SR,2021,"mixed: USA, Australia, Japan, China, United Kingdom",mixed,mixed,mixed,1392,684,708,65.6 glaucoma; 60.5 control,48 glaucoma; 55 control,fundus,"Deep learning systems across included studies: Pegasus, ResNet, VGG-16, Inception-V3",glaucomatous optic neuropathy diagnosis from online datasets or clinician diagnosis with complete medical record; one study used OCT plus repeatable abnormal visual field,mixed,unclear,glaucomatous optic neuropathy,48
Cao (2023),2023,China,Asia,mixed,cross-sectional,637,55,582,48.18,51.68,fundus,Kangrui Intelligent Technology AI-based fundus screening software,Gold standard referral diagnosis by two experienced ophthalmic chief clinicians; disagreements adjudicated by a third chief clinician using international diagnostic criteria,external,yes,other,8.63
Chai (2018),2018,China,Asia,hospital,retrospective,2554,1023,1531,,,fundus,"Multi-branch neural network (MB-NN) combining CNN branches for the whole retinal image and optic disc region with a fully connected branch using domain knowledge features such as cup-to-disc ratio, RNFLD, PPA size, disc/cup sizes, and non-image clinical features",Clinical diagnosis from hospital case reports at Beijing Tongren Hospital,internal,no,any,40.1
