Study,Year,PDF link,PDF path,Arm / test,TP,FN,FP,TN,N positive,N negative,Sensitivity,Specificity,AUC (raw),Unit,Modality,Reference standard,Region,Validation type,Design (prospective),Vendor involvement,Glaucoma target,Glaucoma superclass,Age (glaucoma),Prevalence,AI algorithm,Threshold,Source sheet,Sens_pt,Sens_lo,Sens_hi,Spec_pt,Spec_lo,Spec_hi,N_pos_calc,N_neg_calc,decade,size_tier,region_simple,validation_simple,ref_std_category,rob_overall,ai_class
Balasubramanian (2018),2018,projects/glaucoma-dl-dta-nma/pdfs/Balasubramanian (2018).pdf,04_fulltext/pdfs/Balasubramanian (2018).pdf,"KNN (proposed, hybrid GLCM + PCA)",10,0,0,10,10,10,1.0,1.0,n/r,image,fundus,combined criteria,Asia,internal,retrospective,no,confirmed,unspecified,n/r,0.5,"K-Nearest Neighbor with Haar DWT + GLCM (homogeneity, correlation) + PCA",n/r,claude_pdf,1.0000,0.7225,1.0000,1.0000,0.7225,1.0000,10,10,2015-19,small,Asia,internal,multimodal_objective,unclear,classical ML
Balasubramanian (2018),2018,projects/glaucoma-dl-dta-nma/pdfs/Balasubramanian (2018).pdf,04_fulltext/pdfs/Balasubramanian (2018).pdf,Random Forest (with PCA),10,0,1,9,10,10,1.0,0.9,n/r,image,fundus,combined criteria,Asia,internal,retrospective,no,confirmed,unspecified,n/r,0.5,Random Forest with Haar DWT + GLCM + PCA,n/r,claude_pdf,1.0000,0.7225,1.0000,0.9000,0.5958,0.9821,10,10,2015-19,small,Asia,internal,multimodal_objective,unclear,classical ML
Balasubramanian (2018),2018,projects/glaucoma-dl-dta-nma/pdfs/Balasubramanian (2018).pdf,04_fulltext/pdfs/Balasubramanian (2018).pdf,SVM (with PCA),10,0,3,7,10,10,1.0,0.7,n/r,image,fundus,combined criteria,Asia,internal,retrospective,no,confirmed,unspecified,n/r,0.5,Support Vector Machine with Haar DWT + GLCM + PCA,n/r,claude_pdf,1.0000,0.7225,1.0000,0.7000,0.3968,0.8922,10,10,2015-19,small,Asia,internal,multimodal_objective,unclear,classical ML
Balasubramanian (2018),2018,projects/glaucoma-dl-dta-nma/pdfs/Balasubramanian (2018).pdf,04_fulltext/pdfs/Balasubramanian (2018).pdf,Neural Network (with PCA),8,2,5,5,10,10,0.8,0.5,n/r,image,fundus,combined criteria,Asia,internal,retrospective,no,confirmed,unspecified,n/r,0.5,Neural Network with Haar DWT + GLCM + PCA,n/r,claude_pdf,0.8000,0.4902,0.9433,0.5000,0.2366,0.7634,10,10,2015-19,small,Asia,internal,multimodal_objective,unclear,classical ML
Balasubramanian (2018),2018,projects/glaucoma-dl-dta-nma/pdfs/Balasubramanian (2018).pdf,04_fulltext/pdfs/Balasubramanian (2018).pdf,Naive Bayes (with PCA),9,1,0,9,10,9,0.9,1.0,n/r,image,fundus,combined criteria,Asia,internal,retrospective,no,confirmed,unspecified,n/r,0.5,Naive Bayes with Haar DWT + GLCM + PCA,n/r,claude_pdf,0.9000,0.5958,0.9821,1.0000,0.7009,1.0000,10,9,2015-19,small,Asia,internal,multimodal_objective,unclear,classical ML
Christopher (2018),2018,projects/glaucoma-dl-dta-nma/pdfs/Christopher (2018).pdf,04_fulltext/pdfs/Christopher (2018).pdf,ResNet50 Transfer Learning,4731,901,1562,7628,5632,9190,0.84,0.83,0.91 (0.90-0.93),image,fundus,expert ophthalmologist,North America,internal,cross-sectional,no,confirmed,unspecified,56.8,0.38,ResNet50 (ImageNet pretrained),n/r,claude_pdf,0.8400,0.8302,0.8494,0.8300,0.8222,0.8376,5632,9190,2015-19,very large,non-Asia,internal,expert_clinical,unclear,deep learning
Deperlioglu (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Deperlioglu (2022).pdf,04_fulltext/pdfs/Deperlioglu (2022).pdf,CAM-supported 8-layer CNN (ORIGA-Light),33,1,7,89,34,96,0.9706,0.9271,0.951,image,fundus,expert ophthalmologist,mixed,internal,retrospective,no,confirmed,unspecified,n/r,0.258,8-layer CNN with HE+CLAHE preprocessing and CAM-based XAI,n/r,claude_pdf,0.9706,0.8508,0.9948,0.9271,0.8571,0.9642,34,96,2020-24,small,mixed,internal,expert_clinical,unclear,deep learning
Ajesh (2020),2020,projects/glaucoma-dl-dta-nma/pdfs/Ajesh (2020).pdf,04_fulltext/pdfs/Ajesh (2020).pdf,Jaya-CSO + RNN,15,0,1,29,15,30,1.0,0.9667,n/r,image,fundus,other,Asia,internal,retrospective,no,confirmed,unspecified,n/r,0.33,Recurrent Neural Network trained with Jaya-Chicken Swarm Optimization (hybrid optic disc + blood vessel + image-level features),n/r,claude_pdf,1.0000,0.7961,1.0000,0.9667,0.8333,0.9941,15,30,2020-24,small,Asia,internal,other,unclear,deep learning
Aljohani (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Aljohani (2024).pdf,04_fulltext/pdfs/Aljohani (2024).pdf,"Hybrid ensemble (RF + ResNet50 + VGG-16, 2/3 voting)",159,21,1,299,180,300,0.8833,0.9967,n/r,image,fundus,other,Asia,internal,retrospective,no,confirmed,unspecified,n/r,0.375,"Ensemble of Random Forest, ResNet50, VGG-16 with 2/3 majority post-processing rule",2/3 majority vote,claude_pdf,0.8833,0.8282,0.9224,0.9967,0.9814,0.9994,180,300,2020-24,medium,Asia,internal,other,unclear,rule-based (percentile/CDR)
An (2019),2019,projects/glaucoma-dl-dta-nma/pdfs/An (2019).pdf,04_fulltext/pdfs/An (2019).pdf,Random forest combining all 5 CNN feature vectors,208,0,31,118,208,149,1.0,0.7919,0.963 (SD 0.029),eye,combined,expert ophthalmologist,Asia,internal,cross-sectional,yes,confirmed,POAG,50.85,0.583,"VGG19 CNN feature extraction + Random Forest (10,000 trees)",sensitivity fixed at 1.0 (detect all glaucoma),claude_pdf,1.0000,0.9819,1.0000,0.7919,0.7198,0.8494,208,149,2015-19,medium,Asia,internal,expert_clinical,unclear,deep learning
An (2019),2019,projects/glaucoma-dl-dta-nma/pdfs/An (2019).pdf,04_fulltext/pdfs/An (2019).pdf,Random forest using 140 quantified OCT parameters,208,0,106,43,208,149,1.0,0.2886,0.958 (SD 0.030),eye,combined,expert ophthalmologist,Asia,internal,cross-sectional,yes,confirmed,POAG,50.85,0.583,"Random Forest (10,000 trees) on commercial OCT-derived parameters",sensitivity fixed at 1.0 (detect all glaucoma),claude_pdf,1.0000,0.9819,1.0000,0.2886,0.2219,0.3659,208,149,2015-19,medium,Asia,internal,expert_clinical,unclear,deep learning
Sun (2021),2021,projects/glaucoma-dl-dta-nma/pdfs/Sun (2021).pdf,04_fulltext/pdfs/Sun (2021).pdf,DICNN (RNFL+GCIPL),83,10,3,60,93,63,0.8925,0.9524,0.957 (95% CI 0.943 to 0.966),eye,OCT,expert ophthalmologist,Asia,internal,retrospective,no,confirmed,POAG,n/r,0.595,VGG16-based dual-input CNN,n/r,claude_pdf,0.8925,0.8133,0.9405,0.9524,0.8691,0.9837,93,63,2020-24,small,Asia,internal,expert_clinical,unclear,deep learning
Sun (2021),2021,projects/glaucoma-dl-dta-nma/pdfs/Sun (2021).pdf,04_fulltext/pdfs/Sun (2021).pdf,VGG16 (RNFL),87,6,3,60,93,63,0.9355,0.9524,0.978 (95% CI 0.954 to 0.978),eye,OCT,expert ophthalmologist,Asia,internal,retrospective,no,confirmed,POAG,n/r,0.595,VGG16 single-input (RNFL thickness map),n/r,claude_pdf,0.9355,0.8663,0.9701,0.9524,0.8691,0.9837,93,63,2020-24,small,Asia,internal,expert_clinical,unclear,deep learning
Sun (2021),2021,projects/glaucoma-dl-dta-nma/pdfs/Sun (2021).pdf,04_fulltext/pdfs/Sun (2021).pdf,VGG16 (GCIPL),77,16,5,58,93,63,0.828,0.9206,0.921 (95% CI 0.861 to 0.921),eye,OCT,expert ophthalmologist,Asia,internal,retrospective,no,confirmed,POAG,n/r,0.595,VGG16 single-input (GCIPL thickness map),n/r,claude_pdf,0.8280,0.7387,0.8912,0.9206,0.8273,0.9656,93,63,2020-24,small,Asia,internal,expert_clinical,unclear,deep learning
Sun (2021),2021,projects/glaucoma-dl-dta-nma/pdfs/Sun (2021).pdf,04_fulltext/pdfs/Sun (2021).pdf,Ensemble (VGG16 RNFL + VGG16 GCIPL fused output),81,12,2,61,93,63,0.871,0.9683,0.966 (95% CI 0.943 to 0.972),eye,OCT,expert ophthalmologist,Asia,internal,retrospective,no,confirmed,POAG,n/r,0.595,Fused-output ensemble of VGG16 RNFL and VGG16 GCIPL,n/r,claude_pdf,0.8710,0.7879,0.9246,0.9683,0.8914,0.9913,93,63,2020-24,small,Asia,internal,expert_clinical,unclear,deep learning
Lee (2020),2019,projects/glaucoma-dl-dta-nma/pdfs/Lee (2020).pdf,04_fulltext/pdfs/Lee (2020).pdf,Ensemble training deep learning model (NASNet-A),25,1,0,59,26,59,0.9615,1.0,0.990 (95% CI 0.975-1.000),eye,OCT,expert ophthalmologist,Asia,internal,retrospective,no,confirmed,normal-tension,62.5,0.305,"NASNet-A (large) bottleneck features + fully connected softmax classifier; ensemble of GCIPL thickness, GCIPL deviation, RNFL thickness, RNFL deviation maps",Youden index optimal cutoff (probability 0.5 used for FP/FN analysis),claude_pdf,0.9615,0.8111,0.9932,1.0000,0.9389,1.0000,26,59,2015-19,small,Asia,internal,expert_clinical,unclear,deep learning
Mrad (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Mrad (2022).pdf,04_fulltext/pdfs/Mrad (2022).pdf,SVM vessel-centroid (DRISHTI-DB),70,0,1,30,70,31,1.0,0.9677,n/r,image,fundus,expert ophthalmologist,mixed,internal,retrospective,no,screening,POAG,n/r,0.69,SVM (RBF kernel) on vessel-centroid NRR/ISNT features,n/r,claude_pdf,1.0000,0.9480,1.0000,0.9677,0.8381,0.9943,70,31,2020-24,small,mixed,internal,expert_clinical,unclear,classical ML
Gonzalez-Hernandez (2021),2021,projects/glaucoma-dl-dta-nma/pdfs/Gonzalez-Hernandez (2021).pdf,04_fulltext/pdfs/Gonzalez-Hernandez (2021).pdf,Laguna ONhE GDF + TCV (hybrid AI + perimetry),315,18,5,472,333,477,0.9459,0.9895,0.995 (confirmed) / 0.935 (suspected); 0.978 (0.965-0.987) total,eye,fundus,structural+functional,Europe,internal,cross-sectional,yes,mixed,POAG,52.4,0.411,ResNet50-based Laguna ONhE GDF combined with perimetric threshold coefficient of variation (TCV),"99% specificity; sensitivity 94.5% for confirmed glaucoma, 45.9% for suspected glaucoma",claude_pdf,0.9459,0.9162,0.9655,0.9895,0.9757,0.9955,333,477,2020-24,medium,non-Asia,internal,multimodal_objective,unclear,rule-based (percentile/CDR)
Singh (2021),2021,projects/glaucoma-dl-dta-nma/pdfs/Singh (2021).pdf,04_fulltext/pdfs/Singh (2021).pdf,ANN,67,3,1,69,70,70,0.9571,0.9857,n/r,image,fundus,other,Asia,internal,retrospective,no,confirmed,unspecified,n/r,0.5,"Artificial Neural Network (MLP, 20-12-2)",n/r,claude_pdf,0.9571,0.8814,0.9853,0.9857,0.9234,0.9975,70,70,2020-24,small,Asia,internal,other,unclear,classical ML
Singh (2021),2021,projects/glaucoma-dl-dta-nma/pdfs/Singh (2021).pdf,04_fulltext/pdfs/Singh (2021).pdf,SVM,69,1,3,67,70,70,0.9857,0.9571,n/r,image,fundus,other,Asia,internal,retrospective,no,confirmed,unspecified,n/r,0.5,Support Vector Machine,n/r,claude_pdf,0.9857,0.9234,0.9975,0.9571,0.8814,0.9853,70,70,2020-24,small,Asia,internal,other,unclear,classical ML
Singh (2021),2021,projects/glaucoma-dl-dta-nma/pdfs/Singh (2021).pdf,04_fulltext/pdfs/Singh (2021).pdf,KNN,63,7,6,64,70,70,0.9,0.9143,n/r,image,fundus,other,Asia,internal,retrospective,no,confirmed,unspecified,n/r,0.5,K-Nearest Neighbors,n/r,claude_pdf,0.9000,0.8077,0.9507,0.9143,0.8253,0.9601,70,70,2020-24,small,Asia,internal,other,unclear,classical ML
Singh (2021),2021,projects/glaucoma-dl-dta-nma/pdfs/Singh (2021).pdf,04_fulltext/pdfs/Singh (2021).pdf,Naive Bayes,67,3,4,66,70,70,0.9571,0.9429,n/r,image,fundus,other,Asia,internal,retrospective,no,confirmed,unspecified,n/r,0.5,Naive Bayes Classifier,n/r,claude_pdf,0.9571,0.8814,0.9853,0.9429,0.8621,0.9776,70,70,2020-24,small,Asia,internal,other,unclear,classical ML
Tabei (2025),2025,projects/glaucoma-dl-dta-nma/pdfs/Tabei (2025).pdf,04_fulltext/pdfs/Tabei (2025).pdf,SVM (CDR + stereo depth),242,8,4,246,250,250,0.968,0.984,n/r,image,fundus,combined criteria,North America,internal,retrospective,no,confirmed,unspecified,n/r,0.5,SVM with RBF kernel on CDR + disparity-based depth features,n/r,claude_pdf,0.9680,0.9381,0.9837,0.9840,0.9596,0.9938,250,250,2025+,medium,non-Asia,internal,multimodal_objective,unclear,classical ML
Bhuiyan (2021),2021,projects/glaucoma-dl-dta-nma/pdfs/Bhuiyan (2021).pdf,04_fulltext/pdfs/Bhuiyan (2021).pdf,Ensemble DL (Xception+Inception-ResNet-V2+NasNet+Inception-V3) + Logistic Model Tree,149,37,68,384,186,452,0.8011,0.8496,0.85 (0.81 to 0.90),image,fundus,combined criteria,mixed,external,cross-sectional,yes,screening,unspecified,n/r,0.291,"Ensemble of 5 CNNs (Xception x2, Inception-Resnet-V2, NasNet, Inception-V3) with Logistic Model Tree classifier",vertical CDR > 0.5,claude_pdf,0.8011,0.7379,0.8521,0.8496,0.8137,0.8796,186,452,2020-24,medium,mixed,external,multimodal_objective,unclear,deep learning
Cao (2023),2023,projects/glaucoma-dl-dta-nma/pdfs/Cao (2023).pdf,04_fulltext/pdfs/Cao (2023).pdf,AI fundus screening system (Kangrui),36,19,38,544,55,582,0.6545,0.9347,>0.8,image,fundus,expert ophthalmologist,Asia,external,cross-sectional,yes,referable,mixed,48.18,0.0863,transfer learning-based CNN (CFP),n/r,claude_pdf,0.6545,0.5225,0.7664,0.9347,0.9117,0.9521,55,582,2020-24,medium,Asia,external,expert_clinical,unclear,deep learning
