Study,Year,Country,Continent,Setting,Design,N_total,N_glaucoma,N_nonglaucoma,Age_mean,Sex_female_pct,Imaging_modality,AI_system,Reference_standard,Validation_type,Vendor_involvement,Glaucoma_target,Prevalence_pct
Balasubramanian (2018),2018,India,Asia,research,cross-sectional,120,60,60,n/r,n/r,fundus,hybrid features with PCA and k-nearest neighbor,binary gold standard vessel segmentations/manual reference segmentations by clinicians/ophthalmology experts,internal,no,any,50
David (2023),2023,"mixed/unclear; LAG from China, RIM-ONE public database, local hospital dataset country n/r",mixed/unclear,mixed,retrospective,13258,4878 in LAG; local glaucoma classes 21%; RIM-ONE n/r,6882 in LAG; local no-glaucoma/normal 79.08%; RIM-ONE n/r,53.6 (15.3) in LAG; other datasets n/r,53.6 in LAG; other datasets n/r,fundus,ensemble based CNN with spatially based ellipse fitting curve model (SBEFCM),n/r,internal,unclear,any,41.5 in LAG; 21 local; RIM-ONE n/r
Christopher (2018),2018,United States,North America,research,mixed,2329,768,1561,53.3 ± 14.4 healthy; 64.0 ± 12.9 GON,63.0 healthy; 57.0 GON,fundus,"Deep learning CNNs: VGG16, Inception v3, ResNet50 with native and ImageNet transfer learning","Masked expert grading of stereoscopic ONH fundus photographs for GON by 2 graders, with third adjudication if disagreement",internal,unclear,GON,33.0
Deperlioglu (2022),2022,mixed,mixed,research,retrospective,796,233,563,n/r,n/r,fundus,XAI supported CNN with Class Activation Mapping (CAM),dataset labels / expert-marked glaucoma diagnosis,internal,no,any,29.3
Ajesh (2020),2020,India,Asia,research,retrospective,30,15,15,n/r,n/r,fundus,Jaya-CSO + RNN,HRF Image Database labels,internal,unclear,any,50
Hussein (2026),2026,Saudi Arabia,Asia,research,retrospective,750,532,218,n/r,n/r,fundus,Hybrid CNN-MLP-GRU framework,public dataset glaucoma diagnosis labels with OD/OC segmentation masks,internal,no,any,70.9
Aljohani (2024),2024,n/r,n/r,research,retrospective,2775,900,1875,n/r,n/r,fundus,hybrid glaucoma detection framework,"public dataset labels from ACRIMA, G1020, ORIGA, and REFUGE",internal,no,any,32.43%
Sun (2021),2021,South Korea,Asia,hospital,retrospective,777,462,315,n/r,n/r,OCT,Dual-input convolutional neural network (DICNN),"primary open-angle glaucoma diagnosis based on optic disc/RNFL changes with or without glaucomatous visual field defect; normal eyes without ocular abnormalities, normal IOP history, no glaucomatous disc/RNFL defects, and normal HVF",internal,no,POAG,59.5
Lee (2020),2020,South Korea,Asia,hospital,retrospective,282,86,196,62.5,62.4,OCT,NASNet-A ensemble training model,"stereo disc photography and red-free RNFL photography by glaucoma specialists, with visual field criteria for glaucomatous visual-field defects",internal,no,GON,30.5
Mrad (2022),2022,Tunisia/France,Africa/Europe,research,retrospective,161,90,71,n/r,n/r,fundus,Smartphone-Captured Fundus Images glaucoma screening method,dataset labels/ophthalmologist diagnosis,internal,no,any,55.9
