Study,Claude_Study_Label,Year,Country,Continent,Setting,Design,N_total,N_glaucoma,N_nonglaucoma,Age_mean,Sex_female_pct,Imaging_modality,AI_system,Reference_standard,Validation_type,Vendor_involvement,Glaucoma_target,Prevalence_pct,Scan_target,Glaucoma_definition
David (2023),David (2023),2021,India,Asia,research,retrospective,11760,4878,6882,n/r,n/r,fundus,Ensemble CNN with Spatially Based Ellipse Fitting Curve Model (SBEFCM); transfer learning from AlexNet,n/r,internal,no,glaucomatous optic neuropathy,41.5,,
Singh (2024),Singh (2024),2023,n/r,Asia,research,retrospective,646,166,480,n/r,n/r,fundus,"GWO / WOA / hGWWOA feature selection + ML classifiers (Logistic Regression, XgBoost, Random Forest, CatBoost, SVM, Ensemble)",ORIGA dataset labels,internal,no,any,25.7,,
Balasubramanian (2018),Balasubramanian (2018),2018,India,Asia,research,retrospective,120,60,60,n/r,n/r,fundus,KNN classifier with Haar Discrete Wavelet Transform (HDWT) + GLCM hybrid features (homogeneity + correlation) + PCA,manual reference segmentations by clinicians/ophthalmology experts (database ground truth),internal,no,n/r,50,,
Christopher (2018),Christopher (2018),2018,United States,North America,research,prospective,2329,768,1561,n/r,n/r,fundus,"VGG16, Inception v3, ResNet50 (native and transfer-learning from ImageNet); best = transfer learning ResNet50",Stereoscopic fundus photograph review by two masked graders with adjudication by a third experienced grader,internal,unclear,glaucomatous optic neuropathy,38.0,,
Deperlioglu (2022),Deperlioglu (2022),2022,mixed,mixed,research,retrospective,796,n/r,n/r,n/r,n/r,fundus,8-layer CNN with CAM (Class Activation Mapping) XAI,"expert ophthalmologist annotations from public datasets (Drishti-GS, ORIGA-Light, HRF)",internal,no,any,n/r,,
Ajesh (2020),Ajesh (2020),2020,India,Asia,research,retrospective,45,15,30,n/r,n/r,fundus,Jaya-CSO + RNN (Jaya-chicken swarm optimization trained recurrent neural network),n/r,internal,no,any,33.3,,
Hussein (2026),Hussein (2026),2026,Saudi Arabia,Asia,research,cross-sectional,750,532,218,n/r,n/r,fundus,"Hybrid CNN (ResNet50) + handcrafted features (LBP, HOG, SURF) + clinical CDR, mRMR feature selection, classifiers: MLP, GRU, SVM, RF, KNN","Public dataset ground-truth labels (ORIGA, DRISHTI-GS1; Healthy=0, Glaucomatous=1)",internal,no,any,70.9,,
Aljohani (2024),Aljohani (2024),2024,Saudi Arabia,Asia,research,cross-sectional,n/r,n/r,n/r,n/r,n/r,fundus,Hybrid ensemble (ResNet50 + VGG-16 + Random Forest with GLCM texture features),n/r,internal,no,any,37.5,,
An (2019),An (2019),2019,Japan,Asia,hospital,cross-sectional,357,208,149,50.85,49.6,multimodal,"VGG19 CNN (transfer learning, 5 models) combined via Random Forest (n_trees=10,000)","Unanimous diagnosis by 3 masked ophthalmologists based on glaucomatous optic neuropathy with corresponding visual field defects, abnormally reduced cpRNFLT, and open angle on gonioscopy",internal,yes,other,58.3,,
Sun (2021),Sun (2021),2021,South Korea,Asia,hospital,retrospective,777,462,315,n/r,n/r,OCT,"DICNN (VGG16-based dual-input CNN using RNFL + GCIPL thickness maps); comparators VGG16-RNFL, VGG16-GCIPL, fused-output ensemble","Clinical POAG diagnosis by experienced ophthalmologist based on stereo disc photography, red-free RNFL photographs, and Humphrey 24-2 visual field; normals required IOP ≤21, normal disc/RNFL/VF",internal,unclear,POAG,59.5,,
