record_id,study_id,year,three_node,three_node_label,analysis_measure,outcome_family,quantitative_outcome_slot,source_analysis_nodes,source_analysis_node_labels,source_arm_ids,total,events_analysis,analysis_pct,source_page_or_table,source_evidence,studlab
SCR02685,Sia 2000,2000,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),5y_local_control_success,local_control,primary_5y_local_control,I125_plaque,I-125 plaque,arm_i125,49,39,79.59183673469387,Page 3 Figure 1,Kaplan-Meier estimate of local control with EPT at 5 years is 80%,Sia 2000 | Brachytherapy
SCR02344,Jensen 2005,2005,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),5y_local_control_success,local_control,primary_5y_local_control,I125_plaque,I-125 plaque,arm_i125,156,144,92.3076923076923,Page 1 Abstract,Initial local control at 5 years was 92%,Jensen 2005 | Brachytherapy
SCR02271,Isager 2006,2006,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),5y_local_control_success,local_control,primary_5y_local_control,Ru106_plaque,Ru-106 plaque,arm_ru106,55,40,72.72727272727273,Pages 1 and 3,5-year probability for no local recurrence was 73% (n=55),Isager 2006 | Brachytherapy
SCR02231,Puusaari 2007,2007,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),5y_local_control_success,local_recurrence,primary_5y_local_recurrence,I125_plaque,I-125 plaque,arm_i125,54,50,92.5925925925926,Page 7,"5-year cumulative incidences of local recurrence were 41% (95% CI, 17-63) and 7% (95% CI, 2-17), respectively",Puusaari 2007 | Brachytherapy
SCR01706,Perri 2012,2012,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),5y_local_control_success,local_control,primary_5y_local_control,Ru106_plaque,Ru-106 plaque,arm_ru106,133,113,84.9624060150376,Page 2 results and Figure 3,"Local recurrence free survival at 5, 10 and 15 years was 85%, 79%, 76%.",Perri 2012 | Brachytherapy
SCR01628,Berry 2013,2013,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),5y_local_control_success,local_control,primary_5y_local_control,I125_plaque,I-125 plaque,arm_eye_physics,82,80,97.5609756097561,Pages 4-5 Figure 2,local tumor control at 5 years was 97% (95% CI 89-99),Berry 2013 | Brachytherapy
SCR01330,Jancar 2016,2016,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),5y_local_control_success,local_control,primary_5y_local_control,Ru106_plaque,Ru-106 plaque,arm_ru106,127,99,77.95275590551181,Page 4 Table 3,Ruthenium LRC 5 yrs 78,Jancar 2016 | Brachytherapy
SCR01073,Rospond-Kubiak 2017,2017,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),5y_local_control_success,local_control,primary_5y_local_control,Ru106_plaque,Ru-106 plaque,arm_ru106,126,105,83.33333333333333,Page 3,Local tumor control was 83.3% at 5 years,Rospond-Kubiak 2017 | Brachytherapy
SCR00987,Miguel 2018a,2018,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),5y_local_control_success,local_control,primary_5y_local_control,I125_plaque,I-125 plaque,arm_i125,243,228,93.82716049382717,Page 4 Figure 1 and Table 4,5-year probability for no local recurrence 94% (95% CI 91-97%),Miguel 2018a | Brachytherapy
SCR00882,Espensen 2019,2019,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),5y_local_control_success,local_control,primary_5y_local_control,Ru106_plaque,Ru-106 plaque,arm_ru106,226,176,77.87610619469027,"Page 5, Table 2","50 recurrences were observed, and the overall five-year local control estimate was 78%.",Espensen 2019 | Brachytherapy
SCR00797,Jampol 2020,2020,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),5y_local_control_success,local_control,primary_5y_local_control,I125_plaque,I-125 plaque,arm_i125,650,583,89.6923076923077,Page 1 abstract and Table 4,"Risk of treatment failure was 10.3% (95% CI, 8.0%-13.2%); treatment failure was reported for 57 eyes.",Jampol 2020 | Brachytherapy
SCR00551,Sobti 2021,2021,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),5y_local_control_success,local_recurrence,primary_5y_local_control,Ru106_plaque,Ru-106 plaque,arm_ru106_notched,40,28,70,Results page 4 / Fig. 2,"The risk of local recurrence within 5 years was 31% (95% CI: 14.1%, 47.8%)",Sobti 2021 | Brachytherapy
SCR00368,Stalhammar 2023,2023,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),5y_local_control_success,local_recurrence,primary_5y_local_recurrence,Ru106_plaque,Ru-106 plaque,arm_ru106_cca;arm_ru106_ccb,1387,1172,84.49891852919971,Page 4,"5-, 10-, and 15-year incidence rates ... 21%, 26%, and 28% after CCA plaques | 13%, 15%, and 15% after treatment with CCB plaques",Stalhammar 2023 | Brachytherapy
SCR00250,Gallo 2024,2024,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),5y_local_control_success,local_recurrence,primary_5y_local_recurrence,Ru106_plaque,Ru-106 plaque,arm_ru106,310,257,82.90322580645162,Pages 3 and 5/Table 3,Kaplan-Meier estimates of tumour recurrence were 17% at 5 years,Gallo 2024 | Brachytherapy
SCR00155,Kornblau 2025,2025,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),5y_local_control_success,local_recurrence,primary_5y_local_recurrence,I125_plaque,I-125 plaque,arm_i125,237,213,89.87341772151899,Pages 3-4 and Figure 1,Tumor recurrence was noted in 33 patients. Kaplan-Meier estimate of local recurrence was 10% at 5 years.,Kornblau 2025 | Brachytherapy
