study_id,title,patient_selection_judgment,patient_selection_support,index_test_judgment,index_test_support,reference_standard_judgment,reference_standard_support,flow_timing_judgment,flow_timing_support,analysis_data_handling_judgment,analysis_data_handling_support,applicability_patients,applicability_index_test,applicability_reference_standard,overall_bias,overall_applicability,reviewer,assessment_date,notes
ST016,Advancing glaucoma diagnosis: Multi-modal deep learning with vision transformer architectures,High,"CRITICAL: DRISHTI-GS count inflated 10x (reported 1010, actual 101). GlaS is colorectal cancer dataset, NOT glaucoma. APTOS/EyePACS are diabetic retinopathy datasets.",High,Claims multimodal fundus+OCT but ALL data is fundus-only. Multimodality is architectural only.,High,GlaS labels are for colon gland segmentation; APTOS/EyePACS are diabetic retinopathy labels. Inappropriate reference for glaucoma.,High,Multiple datasets combined without clear tracking. Data integrity issues.,High,Inflated dataset size. Non-glaucoma datasets included. No per-dataset breakdown for proposed model. No CIs.,High,High,High,High,High,N/A - excluded (scope),2026-04-15,"Exclude: CRITICAL data integrity issues (inflated counts, non-glaucoma datasets GlaS/APTOS included, claims multimodal but fundus-only)."
ST052,Grey wolf optimization technique with U-shaped and capsule networks-A novel framework for glaucoma diagnosis,High,Public fundus datasets. Case-control with pre-labeled images.,Low,Grey wolf optimization + U-Net + capsule networks. Fully automated.,Unclear,Public dataset labels; original labeling methodology varies.,Low,Standard dataset split. All images classified.,High,Public dataset evaluation only. Complex architecture but no clinical validation.,High,Low,Unclear,High,High,N/A - excluded (no 2x2),2026-04-15,Grey wolf optimization + U-Net + Capsule networks. Public datasets. MethodsX 2025.
ST049,Glaucoma detection: Binocular approach and clinical data in machine learning,High,Binocular approach using clinical data. Hospital-based dataset.,Low,ML classifiers using binocular clinical data for glaucoma detection. Automated.,Low,Clinical glaucoma diagnosis by specialists.,Low,All subjects received both ML classification and clinical assessment.,High,Clinical data-based (not imaging). Binocular approach novel but internal validation only likely.,High,Low,Low,High,High,N/A - excluded (scope),2026-04-15,Exclude: Clinical data only (no imaging). Binocular clinical ML approach.
ST031,Comparison of Foundation and Supervised Learning-Based Models for Detection of Referable Glaucoma from Fundus Photographs,TBD,,TBD,,TBD,,TBD,,TBD,,TBD,TBD,TBD,TBD,TBD,N/A - excluded,2026-04-15,Excluded: no full-text PDF available.
ST047,Glaucoma detection and staging from visual field images using machine learning techniques,High,Retrospective. VF images used for glaucoma detection and staging. Public dataset likely.,Low,ML techniques applied to VF images for glaucoma detection and staging. Automated.,Unclear,Glaucoma staging criteria. Details depend on dataset source.,Low,All VF images received automated classification.,High,VF-based only (no structural imaging). Staging adds complexity. Internal validation likely.,High,Low,Unclear,High,High,N/A - excluded (scope),2026-04-15,"Exclude: VF-only input (no imaging). ML on visual field images, outside imaging scope."
ST037,Enhancing Glaucoma Detection through Supervised Pre-training with Intermediate Phenotypes: A Multi-Institutional Study,Low,Multi-institutional study with supervised pre-training using intermediate phenotypes.,Low,"DL with supervised pre-training on intermediate phenotypes (RNFL, CDR). Automated.",Low,Clinical diagnosis at participating institutions.,Low,All subjects received both AI and clinical assessment.,Unclear,Preprint (medRxiv). Peer review pending. Multi-institutional but methods may evolve.,Low,Low,Low,Unclear,Low,N/A - excluded (scope),2026-04-15,Exclude: Non-peer-reviewed preprint (medRxiv 10.1101). Pending peer review.
ST064,Utilization of Image-Based Deep Learning in Multimodal Glaucoma Detection Neural Network from a Primary Patient Cohort,High,Small convenience sample (100 per dataset from ACRIMA/ORIGA/RIM-ONE). No demographics.,Unclear,GPT-4V with standardized prompt. 35% required re-prompting. No predefined positivity threshold. Reproducibility moderate (kappa 0.40-0.67).,Low,Clinical glaucoma diagnosis at participating institution.,Low,All subjects received both multimodal imaging and clinical assessment.,Low,Multimodal approach. Primary patient cohort. Ophthalmology Science 2025.,Low,Low,Low,High,Low,N/A - excluded (final review),2026-04-15,GPT-4V evaluation. Acc 68-81% (below expert 72-88%). 35% re-prompting needed. UCSD. Novel but underperforms.
ST107,Development of an Algorithm to Assist Diagnosis of Combined Mechanism Glaucoma,High,"Specialized population: eyes with RVO tested for concomitant glaucoma. Very small test set (66 images: 16 glaucoma+RVO, 50 RVO alone). Single center University of Yamanashi.",Low,Automated AI algorithms (CD-AI and RVO-GLA AI). Fundus images preprocessed to 512x512 pixels. No human interpretation in AI output.,Low,Board-certified ophthalmologists and specialists evaluated same test set. Clinical diagnosis standard used.,Low,All 66 test images evaluated by both AI algorithms and all ophthalmologists on same dataset.,High,Very small training set for comorbid cases (15 images of glaucoma+RVO). Small test set (66 total). Threshold selection empirical.,High,Low,Low,High,High,N/A - excluded (scope),2026-04-15,"Exclude: Comorbid RVO population. Target is glaucoma detection in RVO eyes, not general glaucoma screening."
ST044,Generative Artificial Intelligence for Retinal Image Translation to Improve Glaucoma Screening with Deep Learning,Low,Harvard Ophthalmology AI Lab. Real-world dataset from Massachusetts Eye and Ear.,Low,Generative AI (image translation) to improve DL glaucoma screening. Novel augmentation approach.,Low,Clinical diagnosis at Mass Eye and Ear by glaucoma specialists.,Low,All subjects received both imaging and clinical assessment.,Low,Novel generative AI approach. TVST publication. Validation methodology sound.,Low,Low,Low,Low,Low,N/A - excluded (no 2x2),2026-04-15,Generative AI image translation for glaucoma screening. Harvard/Mass Eye and Ear. TVST 2025.
ST050,Glaucoma diagnosis using Gabor and entropy coded Sine Cosine integration in adaptive partial swarm optimization-based FAWT,TBD,,TBD,,TBD,,TBD,,TBD,,TBD,TBD,TBD,TBD,TBD,N/A - excluded,2026-04-15,Excluded: no full-text PDF available.
