record_id,year,title,prior_reason_code,prior_reason,relaxed_population_decision,local_control_status,reason
SCR00002,2026,"Analysis of the Influence of Demographic, Clinical and Physical Factors on the Occurrence of Ocular Complications After Ruthenium-106 and Iodine-125 Brachytherapy as Well as Proton Therapy of Uveal Melanoma.",P2_MIXED_UVEAL_NOT_85_CHOROIDAL,Mixed uveal cohort without clear documentation that at least 85 percent were choroidal melanoma.,eligible under uveal-relaxed population for available extracted outcome rows,included when endpoint/treatment data are extractable,Previous exclusion was population-only under the choroidal-dominance rule.
SCR00045,2025,Clinical outcomes of fractionated stereotactic radiotherapy for uveal melanoma - a Polish single-centre experience.,P2_MIXED_UVEAL_NOT_85_CHOROIDAL,Mixed uveal cohort without clear documentation that >=85 percent were choroidal melanoma,"potentially relevant under uveal-relaxed population, but not analysis-ready",requires source-level extraction before quantitative use,"Screening evidence mentions recurrence/control, but no vetted treatment-arm crude local-control row exists in the corrected extraction table."
SCR00082,2025,"Unexpectedly Low Rate of Metastasis and Death Among Patients Treated for Uveal Melanoma with Brachytherapy, Vitrectomy, and Silicone Oil.",P2_MIXED_UVEAL_NOT_85_CHOROIDAL,Mixed uveal/eye melanoma cohort without clear evidence that at least 85% were choroidal melanoma.,"potentially relevant under uveal-relaxed population, but not analysis-ready",requires source-level extraction before quantitative use,"Screening evidence mentions recurrence/control, but no vetted treatment-arm crude local-control row exists in the corrected extraction table."
SCR00108,2025,Long-term outcome after treatment of large uveal melanoma.,P2_MIXED_UVEAL_NOT_85_CHOROIDAL,Mixed uveal cohort without clear documentation that >=85 percent were choroidal melanoma,"potentially relevant under uveal-relaxed population, but not analysis-ready",requires source-level extraction before quantitative use,"Screening evidence mentions recurrence/control, but no vetted treatment-arm crude local-control row exists in the corrected extraction table."
SCR00143,2025,Early Treatment in Patients With Small and Medium-Small Class 2 Gene Expression Profiling Uveal Melanoma to Reduce Mortality.,P2_MIXED_UVEAL_NOT_85_CHOROIDAL,Small and medium-small uveal melanoma gene-expression cohort without clear >=85% choroidal disease.,"potentially relevant under uveal-relaxed population, but not analysis-ready",requires source-level extraction before quantitative use,"Screening evidence mentions recurrence/control, but no vetted treatment-arm crude local-control row exists in the corrected extraction table."
SCR00153,2025,A 39-Year Nationwide Study of Uveal Melanoma in Taiwan.,P2_MIXED_UVEAL_NOT_85_CHOROIDAL,Nationwide uveal melanoma registry cohort does not establish that at least 85% of included cases were choroidal melanoma.,"potentially relevant under uveal-relaxed population, but not analysis-ready",requires source-level extraction before quantitative use,"Screening evidence mentions recurrence/control, but no vetted treatment-arm crude local-control row exists in the corrected extraction table."
SCR00185,2025,Functional outcome after Brachytherapy with bi-nuclide (Ru-106/Iodine-125) plaques in large uveal melanomas.,P2_MIXED_UVEAL_NOT_85_CHOROIDAL,Mixed uveal cohort without clear documentation that >=85 percent were choroidal melanoma,"potentially relevant under uveal-relaxed population, but not analysis-ready",requires source-level extraction before quantitative use,"Screening evidence mentions recurrence/control, but no vetted treatment-arm crude local-control row exists in the corrected extraction table."
SCR00230,2024,Pregnancy and survival-related outcomes of uveal melanoma treated with brachytherapy in women of reproductive age.,P2_MIXED_UVEAL_NOT_85_CHOROIDAL,Pregnancy cohort is reported as uveal melanoma without clear evidence that at least 85% had choroidal disease.,"potentially relevant under uveal-relaxed population, but not analysis-ready",requires source-level extraction before quantitative use,"Screening evidence mentions recurrence/control, but no vetted treatment-arm crude local-control row exists in the corrected extraction table."
SCR00233,2024,Association of female sex with cataract surgery in the general population but not in plaque brachytherapy-treated uveal melanoma patients.,P2_MIXED_UVEAL_NOT_85_CHOROIDAL,Posterior uveal plaque cohort does not clearly establish the required >=85% choroidal disease.,not included in current local-control network,no usable local-control endpoint identified from corrected screening evidence,"Population would be relaxed, but endpoint or treatment-arm data remain insufficient for this network question."
SCR00252,2024,Iodine Plaque Brachytherapy a Customized Conservative Approach to the Management of Medium/Large-sized Uveal Melanoma.,P2_MIXED_UVEAL_NOT_85_CHOROIDAL,The treated cohort is described as uveal melanoma without clear evidence that at least 85 percent were choroidal melanoma.,"potentially relevant under uveal-relaxed population, but not analysis-ready",requires source-level extraction before quantitative use,"Screening evidence mentions recurrence/control, but no vetted treatment-arm crude local-control row exists in the corrected extraction table."
SCR00266,2024,Tumor Control Probability and Time-Dose-Response Modeling for Stereotactic Radiosurgery of Uveal Melanoma.,P2_MIXED_UVEAL_NOT_85_CHOROIDAL,Photon SRS study is a uveal melanoma cohort without clear >=85% choroidal composition.,"potentially relevant under uveal-relaxed population, but not analysis-ready",requires source-level extraction before quantitative use,"Screening evidence mentions recurrence/control, but no vetted treatment-arm crude local-control row exists in the corrected extraction table."
SCR00295,2025,Treatment-Related Complications and Functional Results after Ruthenium-106 Brachytherapy in Small to Medium Size Uveal Melanomas (Part 2).,P2_MIXED_UVEAL_NOT_85_CHOROIDAL,Large Ru-106 complication series is uveal melanoma without clear evidence that at least 85% were choroidal cases.,"potentially relevant under uveal-relaxed population, but not analysis-ready",requires source-level extraction before quantitative use,"Screening evidence mentions recurrence/control, but no vetted treatment-arm crude local-control row exists in the corrected extraction table."
SCR00323,2024,A cohort of long-surviving patients affected by small and medium uveal melanoma treated with ruthenium-106 plaque brachytherapy.,P2_MIXED_UVEAL_NOT_85_CHOROIDAL,Mixed uveal cohort does not clearly meet the required >=85% choroidal threshold.,"potentially relevant under uveal-relaxed population, but not analysis-ready",requires source-level extraction before quantitative use,"Screening evidence mentions recurrence/control, but no vetted treatment-arm crude local-control row exists in the corrected extraction table."
SCR00348,2023,Clinical Outcomes in AYAs (Adolescents and Young Adults) Treated with Proton Therapy for Uveal Melanoma: A Comparative Matching Study with Elder Adults.,P2_MIXED_UVEAL_NOT_85_CHOROIDAL,Mixed uveal melanoma proton cohort does not clearly meet the >=85% choroidal threshold.,"potentially relevant under uveal-relaxed population, but not analysis-ready",requires source-level extraction before quantitative use,"Screening evidence mentions recurrence/control, but no vetted treatment-arm crude local-control row exists in the corrected extraction table."
SCR00410,2023,Genetic Status Affects Disease-Specific Mortality But Not the Incidence of Local Recurrence in Patients with Uveal Melanoma.,P2_MIXED_UVEAL_NOT_85_CHOROIDAL,Mixed posterior uveal cohort does not document at least 85% choroidal disease.,"potentially relevant under uveal-relaxed population, but not analysis-ready",requires source-level extraction before quantitative use,"Screening evidence mentions recurrence/control, but no vetted treatment-arm crude local-control row exists in the corrected extraction table."
SCR00418,2023,A Prognostic Score for the Prediction of Local Treatment Failure in Plaque Brachytherapy of Uveal Melanoma.,P2_MIXED_UVEAL_NOT_85_CHOROIDAL,Posterior uveal melanoma plaque cohort does not clearly establish at least 85% choroidal disease.,"potentially relevant under uveal-relaxed population, but not analysis-ready",requires source-level extraction before quantitative use,"Screening evidence mentions recurrence/control, but no vetted treatment-arm crude local-control row exists in the corrected extraction table."
SCR00471,2023,Incidence and Risk Factors for Secondary Glaucoma in Eyes with Uveal Melanoma.,P2_MIXED_UVEAL_NOT_85_CHOROIDAL,Population is primary uveal melanoma of any location without clear >=85% choroidal composition.,"potentially relevant under uveal-relaxed population, but not analysis-ready",requires source-level extraction before quantitative use,"Screening evidence mentions recurrence/control, but no vetted treatment-arm crude local-control row exists in the corrected extraction table."
SCR00481,2022,Ruthenium-106 plaque radiotherapy for uveal melanoma: analysis of tumor dimension and location on anatomical and functional results.,P2_MIXED_UVEAL_NOT_85_CHOROIDAL,Mixed ciliary body/choroidal melanoma cohort does not prove at least 85% choroidal disease.,"potentially relevant under uveal-relaxed population, but not analysis-ready",requires source-level extraction before quantitative use,"Screening evidence mentions recurrence/control, but no vetted treatment-arm crude local-control row exists in the corrected extraction table."
SCR00507,2022,Three-year outcomes of uveal melanoma treated with intra-operative ultrasound-guided iodine-125 brachytherapy using custom-built eye plaques.,P2_MIXED_UVEAL_NOT_85_CHOROIDAL,Mixed uveal cohort without clear documentation that >=85 percent were choroidal melanoma,"potentially relevant under uveal-relaxed population, but not analysis-ready",requires source-level extraction before quantitative use,"Screening evidence mentions recurrence/control, but no vetted treatment-arm crude local-control row exists in the corrected extraction table."
SCR00515,2022,Retrospective analysis of secondary enucleation for uveal melanoma after plaque radiotherapy.,P2_MIXED_UVEAL_NOT_85_CHOROIDAL,Secondary enucleation uveal melanoma cohort does not clearly document at least 85 percent choroidal primary disease.,"potentially relevant under uveal-relaxed population, but not analysis-ready",requires source-level extraction before quantitative use,"Screening evidence mentions recurrence/control, but no vetted treatment-arm crude local-control row exists in the corrected extraction table."
SCR00526,2022,"Photon-based High-dose Single-fraction Radiosurgery, an Effective Treatment Modality for Large and Posterior Uveal Melanoma.",P2_MIXED_UVEAL_NOT_85_CHOROIDAL,Large/posterior uveal melanoma cohort does not clearly establish >=85% choroidal disease.,"potentially relevant under uveal-relaxed population, but not analysis-ready",requires source-level extraction before quantitative use,"Screening evidence mentions recurrence/control, but no vetted treatment-arm crude local-control row exists in the corrected extraction table."
SCR00562,2021,Clinical Outcomes after International Referral of Uveal Melanoma Patients for Proton Therapy.,P2_MIXED_UVEAL_NOT_85_CHOROIDAL,Uveal melanoma proton cohort does not clearly establish >=85% choroidal disease.,"potentially relevant under uveal-relaxed population, but not analysis-ready",requires source-level extraction before quantitative use,"Screening evidence mentions recurrence/control, but no vetted treatment-arm crude local-control row exists in the corrected extraction table."
