id,Study,Year,PDF link,PDF path,type,tp,fn,fp,tn,n_pos,n_neg,Unit,Modality,Reference standard,Region,Validation type,Design (prospective),Vendor involvement,Glaucoma target,Glaucoma superclass,Age (glaucoma),Prevalence,AI algorithm,Source sheet,region_std,validation_std,prospective_std,vendor_inv,glaucoma_target_std,glaucoma_superclass,age_num,prevalence,modality_std,unit,arm_node,node_type,study_id,Sens_pt,Sens_lo,Sens_hi,Spec_pt,Spec_lo,Spec_hi,decade,size_tier,region_simple,validation_simple,ref_std_category,rob_overall,cohort_id,study_num,test_num,node,node_compare,pos,neg,ai_class
1,Balasubramanian (2018),2018,projects/glaucoma-dl-dta-nma/pdfs/Balasubramanian (2018).pdf,04_fulltext/Balasubramanian (2018).pdf,AI-only,50,1,0,50,51,50,image,fundus,manual reference segmentations by clinicians/ophthalmology experts (database ground truth),Asia,internal,retrospective,no,any,any,n/r,n/r,Cross-validation RIMONE - proposed KNN,codex_v2,Asia,internal,retrospective,no,any,n/r,n/r,n/r,fundus,n/r,Cross-validation RIMONE - proposed KNN,AI-only,Balasubramanian (2018),0.9804,0.8970,0.9965,1.0000,0.9287,1.0000,2015-19,small,Asia,internal,expert_clinical,unclear,Balasubramanian (2018),1,1,AI-only,AI-vs-Reader,51,50,classical ML
2,Christopher (2018),2018,projects/glaucoma-dl-dta-nma/pdfs/Christopher (2018).pdf,04_fulltext/pdfs/Christopher (2018).pdf,AI-only,4731,901,1562,7628,5632,9190,image,fundus,expert ophthalmologist,North America,internal,cross-sectional,no,confirmed,unspecified,56.8,0.38,ResNet50 Transfer Learning,claude_pdf,North America,internal,cross-sectional,no,confirmed,n/r,n/r,n/r,fundus,n/r,ResNet50 Transfer Learning,AI-only,Christopher (2018),0.8400,0.8302,0.8494,0.8300,0.8222,0.8376,2015-19,very large,non-Asia,internal,expert_clinical,unclear,Christopher (2018),2,1,AI-only,AI-vs-Reader,5632,9190,deep learning
3,Deperlioglu (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Deperlioglu (2022).pdf,04_fulltext/Deperlioglu (2022).pdf,AI-only,164,4,36,446,168,482,image,fundus,"Expert/doctor-labelled public retinal image datasets; Drishti-GS was marked by four glaucoma experts, ORIGA-Light came from clinical eye examinations, and HRF labels/segmentations were created by experts/doctors.",mixed,internal,retrospective,no,any,any,n/r,n/r,"ORIGA-Light XAI-supported CNN, mean over 20 trials (Table 6; 2x2 back-calculated from reported sensitivity/specificity)",codex_v2,mixed,internal,retrospective,no,any,n/r,n/r,n/r,fundus,n/r,"ORIGA-Light XAI-supported CNN, mean over 20 trials (Table 6; 2x2 back-calculated from reported sensitivity/specificity)",AI-only,Deperlioglu (2022),0.9762,0.9404,0.9907,0.9253,0.8983,0.9456,2020-24,medium,mixed,internal,expert_clinical,unclear,Deperlioglu (2022),3,1,AI-only,AI-vs-Reader,168,482,deep learning
4,Ajesh (2020),2020,projects/glaucoma-dl-dta-nma/pdfs/Ajesh (2020).pdf,04_fulltext/Ajesh (2020).pdf,AI-only,15,0,1,29,15,30,image,fundus,HRF Image Database diagnostic category labels; exact clinical reference standard not reported,Asia,internal,retrospective,no,any,any,n/r,n/r,Proposed Jaya-CSO + RNN (image size 512),codex_v2,Asia,internal,retrospective,no,any,n/r,n/r,n/r,fundus,n/r,Proposed Jaya-CSO + RNN (image size 512),AI-only,Ajesh (2020),1.0000,0.7961,1.0000,0.9667,0.8333,0.9941,2020-24,small,Asia,internal,dataset_label,unclear,Ajesh (2020),4,1,AI-only,AI-vs-Reader,15,30,deep learning
5,Aljohani (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Aljohani (2024).pdf,04_fulltext/pdfs/Aljohani (2024).pdf,AI-only,159,21,1,299,180,300,image,fundus,other,Asia,internal,retrospective,no,confirmed,unspecified,n/r,0.375,"Hybrid ensemble (RF + ResNet50 + VGG-16, 2/3 voting)",claude_pdf,Asia,internal,retrospective,no,confirmed,n/r,n/r,n/r,fundus,n/r,"Hybrid ensemble (RF + ResNet50 + VGG-16, 2/3 voting)",AI-only,Aljohani (2024),0.8833,0.8282,0.9224,0.9967,0.9814,0.9994,2020-24,medium,Asia,internal,other,unclear,Aljohani (2024),5,1,AI-only,AI-vs-Reader,180,300,rule-based (percentile/CDR)
6,An (2019),2019,projects/glaucoma-dl-dta-nma/pdfs/An (2019).pdf,04_fulltext/An (2019).pdf,AI-only,208,0,31,118,208,149,image,multimodal,"Unanimous diagnosis by three ophthalmologists; OAG diagnosed from glaucomatous optic neuropathy with corresponding visual field defects, abnormally reduced circumpapillary RNFL thickness, and open angle on gonioscopy; controls had normal OCT measurements and no ocular/systemic disease affecting the visual field, no elevated IOP, and no apparent glaucomatous optic disc.",Asia,internal,cross-sectional,yes,"Open-angle glaucoma (OAG), including preperimetric glaucoma cases",any,n/r,n/r,Proposed approach at false-negative rate zero,codex_v2,Asia,internal,cross-sectional,yes,"Open-angle glaucoma (OAG), including preperimetric glaucoma cases",n/r,n/r,n/r,multimodal,n/r,Proposed approach at false-negative rate zero,AI-only,An (2019),1.0000,0.9819,1.0000,0.7919,0.7198,0.8494,2015-19,medium,Asia,internal,expert_clinical,unclear,An (2019),6,1,AI-only,AI-vs-Reader,208,149,deep learning
7,Sun (2021),2021,projects/glaucoma-dl-dta-nma/pdfs/Sun (2021).pdf,04_fulltext/pdfs/Sun (2021).pdf,AI-only,81,12,2,61,93,63,eye,OCT,expert ophthalmologist,Asia,internal,retrospective,no,confirmed,POAG,n/r,0.595,Ensemble (VGG16 RNFL + VGG16 GCIPL fused output),claude_pdf,Asia,internal,retrospective,no,confirmed,n/r,n/r,n/r,OCT,n/r,Ensemble (VGG16 RNFL + VGG16 GCIPL fused output),AI-only,Sun (2021),0.8710,0.7879,0.9246,0.9683,0.8914,0.9913,2020-24,small,Asia,internal,expert_clinical,unclear,Sun (2021),7,1,AI-only,AI-vs-Reader,93,63,deep learning
8,Lee (2020),2020,projects/glaucoma-dl-dta-nma/pdfs/Lee (2020).pdf,04_fulltext/Lee (2020).pdf,AI-only,109,6,0,95,115,95,image,OCT,Glaucoma specialist diagnosis based on ophthalmoscopically apparent glaucomatous optic disc change confirmed by a panel of glaucoma specialists plus glaucomatous visual field change by Anderson-Patella criteria; MD > -5 dB for early glaucoma datasets,Asia,external (independent testing dataset),mixed,no,"Primary open-angle glaucoma / open-angle glaucoma, specifically early OAG with MD > -5 dB in the training and testing datasets",any,n/r,n/r,Ensemble training model,codex_v2,Asia,external (independent testing dataset),mixed,no,"Primary open-angle glaucoma / open-angle glaucoma, specifically early OAG with MD > -5 dB in the training and testing datasets",n/r,n/r,n/r,OCT,n/r,Ensemble training model,AI-only,Lee (2020),0.9478,0.8908,0.9759,1.0000,0.9611,1.0000,2020-24,medium,Asia,external,expert_clinical,unclear,Lee (2020),8,1,AI-only,AI-vs-Reader,115,95,deep learning
9,Mrad (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Mrad (2022).pdf,04_fulltext/Mrad (2022).pdf,AI-only,70,0,1,30,70,31,image,fundus,"Public dataset labels for DRISHTI-DB/DRISHTI-GS and DRIONS-DB; ophthalmologist-generated ground truth for RIAMP, with suspect cases excluded",Africa,internal,retrospective,no,any,any,n/r,n/r,SVM proposed method - DRISHTI-DB,codex_v2,Africa,internal,retrospective,no,any,n/r,n/r,n/r,fundus,n/r,SVM proposed method - DRISHTI-DB,AI-only,Mrad (2022),1.0000,0.9480,1.0000,0.9677,0.8381,0.9943,2020-24,small,non-Asia,internal,expert_clinical,unclear,Mrad (2022),9,1,AI-only,AI-vs-Reader,70,31,classical ML
10,Gonzalez-Hernandez (2021),2021,projects/glaucoma-dl-dta-nma/pdfs/Gonzalez-Hernandez (2021).pdf,04_fulltext/Gonzalez-Hernandez (2021).pdf,AI-only,145,14,9,143,159,152,image,multimodal,"Composite clinical diagnosis: glaucomatous visual field loss on standard automated perimetry (PSD or MD <5%) plus signs of glaucomatous neuropathy (Laguna ONhE GDF or OCT rim area <5%); suspects defined by IOP >21 mmHg, family history, dubious optic disc, or borderline visual fields",Europe,internal,cross-sectional,yes,"chronic open-angle glaucoma, including confirmed and suspected glaucoma",any,n/r,n/r,"ResNet50 normal-vs-glaucoma classifier, internal test subset",codex_v2,Europe,internal,cross-sectional,yes,"chronic open-angle glaucoma, including confirmed and suspected glaucoma",n/r,n/r,n/r,multimodal,n/r,"ResNet50 normal-vs-glaucoma classifier, internal test subset",AI-only,Gonzalez-Hernandez (2021),0.9119,0.8576,0.9468,0.9408,0.8913,0.9685,2020-24,medium,non-Asia,internal,multimodal_objective,unclear,Gonzalez-Hernandez (2021),10,1,AI-only,AI-vs-Reader,159,152,deep learning
