record_id,study_id,year,arm_id,analysis_node,analysis_node_label,total,events_analysis,analysis_pct,outcome_family,quantitative_outcome_slot,derivation_note,source_page_or_table,source_evidence
SCR00062,Kim 2025,2025,arm_cirt,CIRT,Carbon ion,192,181,94.4,local_recurrence,primary_5y_local_recurrence,converted_from_local_recurrence,Page 3 and Figure 1,"The 5-year local failure rate was 5.6% (95% CI, 2.0%-9.3%) for the CIRT group."
SCR00062,Kim 2025,2025,arm_sabr,Photon_SRS_FSRT,Photon SRS/FSRT,64,55,86.6,local_recurrence,primary_5y_local_recurrence,converted_from_local_recurrence,Page 3 and Figure 1,"The 5-year local failure rate was 13.4% (95% CI, 4.6%-22.2%) for the SABR group."
SCR00119,Zako 2025,2025,arm_pbrt,PBT,Proton beam,240,230,96.0,local_control,primary_5y_local_control,reported_local_control,Page 5 and Figure 1,The PBRT cohort had 5-year LC of 96% (92-98%).
SCR00155,Kornblau 2025,2025,arm_i125,I125_plaque,I-125 plaque,237,213,90.0,local_recurrence,primary_5y_local_recurrence,converted_from_local_recurrence,Pages 3-4 and Figure 1,Tumor recurrence was noted in 33 patients. Kaplan-Meier estimate of local recurrence was 10% at 5 years.
SCR00170,Pors 2025,2025,arm_ru106,Ru106_plaque,Ru-106 plaque,719,661,92.0,local_control,primary_5y_local_control,reported_local_control,Pages 3 and 5,"In the complete cohort, the 5-year local failure rate was 8%; discussion states local control (92%)."
SCR00224,Aoki 2025,2025,arm_cirt,CIRT,Carbon ion,250,236,94.4,local_control,primary_5y_local_control,reported_local_control,Page 4,LC rates at 5-year and 8-year were 94.4% and 92.9%
SCR00250,Gallo 2024,2024,arm_ru106,Ru106_plaque,Ru-106 plaque,310,257,83.0,local_recurrence,primary_5y_local_recurrence,converted_from_local_recurrence,Pages 3 and 5/Table 3,Kaplan-Meier estimates of tumour recurrence were 17% at 5 years
SCR00259,Phillips 2024,2024,arm_photon_fsrt,Photon_SRS_FSRT,Photon SRS/FSRT,20,17,85.0,local_control,primary_5y_local_control,reported_local_control,Page 3,"tumour has progressed in three eyes (5yFFLP: 85%, 95% CI: 60-96)"
SCR00368,Stalhammar 2023,2023,arm_ru106_cca,Ru106_plaque,Ru-106 plaque,439,347,79.0,local_recurrence,primary_5y_local_recurrence,converted_from_local_recurrence,Page 4,"5-, 10-, and 15-year incidence rates ... 21%, 26%, and 28% after CCA plaques"
SCR00368,Stalhammar 2023,2023,arm_ru106_ccb,Ru106_plaque,Ru-106 plaque,948,825,87.0,local_recurrence,primary_5y_local_recurrence,converted_from_local_recurrence,Page 4,"13%, 15%, and 15% after treatment with CCB plaques"
SCR00551,Sobti 2021,2021,arm_ru106_notched,Ru106_plaque,Ru-106 plaque,40,28,69.0,local_recurrence,primary_5y_local_control,converted_from_local_recurrence,Results page 4 / Fig. 2,"The risk of local recurrence within 5 years was 31% (95% CI: 14.1%, 47.8%)"
SCR00765,Riechardt 2020,2020,arm_pbt,PBT,Proton beam,,,96.7,local_control,primary_5y_local_control,reported_local_control,Results page 3,"Kaplan-Meier analysis, overall-survival was 94.9%, metastasis-free survival was 87.6%, and local tumor control rate was 96.7% after 5 years"
