QUADAS-3 row-wise quality assessment for keratoconus AI diagnostic studies,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
Use one row per included primary study. Record domain-level judgments and optional signaling question responses. Target population for this review should usually be framed as either “Keratoconus vs normal” or “Early keratoconus / suspect / subclinical vs normal”.,,,,,,,,,,,,,,,,,,,,,
Identification,,,,,,Risk of bias domains,,,,,,Applicability concerns,,,,,,Overall / notes,,,
Study ID,Author,Year,Target population,Index test / model,Reference standard,Patient selection,Index test,Reference standard,Flow & timing,Analysis / data handling,AI-specific issues,Patient selection,Index test,Reference standard,Outcome definition,Comparator / control spectrum,Setting / intended use,Overall ROB,Overall applicability,Key concerns / signaling summary,Reviewer notes
S24,Abdelmotaal et al.,2026,Early ectasia / VAE-NT + mild keratoconus vs normal,AI-derived biomechanical voting score from Corvis ST videos; comparators BAD-D/CBI/TBI,Composite clinical/tomographic expert-defined reference standard,High,Low,Low,Unclear,Unclear,Unclear,High,Low,Low,Target condition defined as early ectasia combining VAE-NT and mild KC,Normal controls vs clinically enriched early ectasia groups; frank KC not directly analyzed as target endpoint,Private ophthalmology/refractive screening setting; intended early ectasia detection,High,High,"Retrospective case-control spectrum with matched controls may inflate performance; however index test threshold reported, external validation performed, and masked expert review supports reference standard quality.","Processing failures led to exclusion of 15 videos. Applicability concern mainly relates to enriched/private-center population and early-ectasia composite outcome. Review-team decision: Retain in the SR, but use quantitatively only in exploratory early-endpoint analyses because the target condition is a composite early-ectasia outcome."
S29,Borderie et al.,2025,KC vs Normal,TabPFN/LightGBM,Senior cornea subspecialist: slit-lamp + topography + SD-OCT,High,Low,Low,Unclear,Low,Unclear,High,Low,Low,Established keratoconus vs normal,KC vs normal controls (clinical spectrum),Ophthalmology/refractive surgery clinical setting,High,High,case-control spectrum bias,Auto-assessed from extracted data. Design: retrospective case-control. Ref: senior cornea subspecialist: slit-lamp + topography + sd-oct. Test n: 381.
S35,Awwad et al.,2025,Normal vs KC,Random Forest,CLMI.X + subjective refractive surgeon assessment,High,Unclear,Unclear,Unclear,Low,High,Unclear,Low,Low,Established keratoconus vs normal,KC vs normal controls (clinical spectrum),Ophthalmology/refractive surgery clinical setting,High,Unclear,case-control spectrum bias; very small sample (n=0); cross-validation (no held-out test); small dataset for AI model,Auto-assessed from extracted data. Design: retrospective single-center. Ref: clmi.x + subjective refractive surgeon assessment. Test n: 5-fold CV.
S31,Casado-Moreno et al.,2025,KC vs Control,VGG16 CNN feature-fusion,Cornea specialists Wenzhou: slit-lamp + Pentacam,Unclear,Low,Low,Unclear,Unclear,Unclear,Unclear,Low,Low,Established keratoconus vs normal,KC vs normal controls (clinical spectrum),Ophthalmology/refractive surgery clinical setting,Unclear,Unclear,No major concerns identified,Auto-assessed from extracted data. Design: retrospective. Ref: cornea specialists wenzhou: slit-lamp + pentacam. Test n: 137.
S27,Du et al.,2025,Forme fruste / subclinical / clinical keratoconus vs normal across a multicenter external-test framework,"Selected-features CatBoost integrating clinical risk factors, Pentacam, and Corvis ST",Clinical/tomographic categorization across 5 centers,Low,Low,Low,Low,Moderate,Moderate,Low,Unclear,Low,"Early-endpoint subgroups (FFKC and SKC) are clearly separated, but definitions may still differ from other reviews.",Normal controls from refractive-surgery screening are appropriate; spectrum is clinically relevant across early and clinical disease.,Multicenter screening / diagnostic support; multimodal index includes non-imaging CRF in addition to imaging.,Unclear,Unclear,"Prospective multicenter design with one eye per participant and external testing lowers bias, but multiple feature sets/models and multimodal CRF integration add complexity.","Main applicability concern is that the final index test is not imaging-only, so subgroup/sensitivity analysis by modality is advisable. Review-team decision: Primary KC-vs-normal MA eligible for the CKC row; keep the FFKC/SKC rows exploratory or subgrouped within a preclinical analysis."
S25,Lu et al.,2025,Suspect keratoconus vs normal within a 3-class corneal topography dataset,CMVFT multiview fusion transformer using 7 corneal topography maps,Public-dataset labels based on clinical/topographic suspect criteria,High,High,Unclear,Low,High,High,Unclear,Low,Unclear,Target outcome of interest is suspect keratoconus; original task was three-class normal/suspect/KCN classification.,Normal controls plus overt keratoconus were present in the source dataset; pairwise extraction is indirect.,AI screening / diagnostic support in corneal topography,High,High,Secondary analysis of a public dataset; no external validation; multiclass model converted indirectly to pairwise meta-analytic 2x2; reference standard inherited from the original dataset.,"Strong technical model development, but risk of bias is increased by public-dataset design, internal validation only, and indirect endpoint extraction. Review-team decision: Retain in the SR, but treat the suspect-vs-normal row as exploratory only because it is derived from a multiclass public-dataset split without external validation."
S30,Mirsalehi et al.,2025,Ectasia vs rest,Modified MobileNetV3-Large CNN,3 ophthalmologists unanimous labeling,Unclear,Low,Low,Unclear,Low,Unclear,Unclear,Low,Low,Established keratoconus vs normal,KC vs normal controls (clinical spectrum),Ophthalmology/refractive surgery clinical setting,Unclear,Unclear,No major concerns identified,Auto-assessed from extracted data. Design: retrospective single-center. Ref: 3 ophthalmologists unanimous labeling. Test n: 126.
S33,Muhsin et al.,2025,CKC vs NKC (SMOTE-balanced),Stacking ensemble (RF+GB+DT + SVM meta),3 ophthalmologists per 2015 Global Consensus; >97% agreement,Unclear,Low,Low,Unclear,High,Unclear,Unclear,Low,Low,Established keratoconus vs normal,KC vs normal controls (clinical spectrum),Ophthalmology/refractive surgery clinical setting,High,Unclear,data augmentation/resubstitution,Auto-assessed from extracted data. Design: retrospective 2-center. Ref: 3 ophthalmologists per 2015 global consensus; >97% agreement. Test n: 360.
