Study,Year,Country,Continent,Setting,Design,N_total,N_glaucoma,N_nonglaucoma,Age_mean,Sex_female_pct,Imaging_modality,AI_system,Reference_standard,Validation_type,Vendor_involvement,Glaucoma_target,Prevalence_pct
David (2023),2023,"mixed (China; public datasets LAG, RIM-ONE)",mixed,mixed,retrospective,13258,n/r,n/r,n/r,n/r,fundus,Ensemble CNN with SBEFCM (transfer learning from AlexNet),"dataset labels (expert-annotated LAG, RIM-ONE, local glaucoma dataset)",internal,unclear,any,"24 (LAG); n/r (RIM-ONE, local)"
Balasubramanian (2018),2018,India,Asia,research,retrospective,120,60,60,n/r,n/r,fundus,"KNN with hybrid GLCM features (homogeneity + correlation) on HDWT-decomposed images, PCA dimensionality reduction",manual reference segmentation/annotation by clinicians (database gold standard),internal,no,any,50
Singh (2024),2024,Singapore,Asia,research,retrospective,646,166,480,n/r,n/r,fundus,"GWO-MLC, WOA-MLC, hGWWOA-MLC with Logistic Regression, XgBoost, Random Forest, CatBoost, SVM, Ensemble",ORIGA dataset ground-truth labels,internal,no,any,25.7
Christopher (2018),2018,United States,North America,research,prospective,14822,5633,9189,57.8,61.0,fundus,"VGG16, Inception v3, ResNet50 (native and transfer learning)",Expert adjudicated stereoscopic fundus photograph grading by two masked graders with third grader adjudication for GON,internal,no,GON,38.0
Deperlioglu (2022),2022,"mixed (India, Singapore, Germany - public datasets)",mixed,research,retrospective,796,n/r,n/r,n/r,n/r,fundus,8-layer explainable CNN with CAM (Class Activation Mapping),"expert ophthalmologist annotations from public datasets (Drishti-GS, ORIGA-Light, HRF)",internal,no,any,n/r
Ajesh (2020),2020,Germany,Europe,research,retrospective,45,15,30,n/r,n/r,fundus,Jaya-CSO trained Recurrent Neural Network (RNN),HRF database labels (clinical diagnosis),internal,no,any,33.3
Hussein (2026),2026,Singapore; India,Asia,research,retrospective,750,532,218,n/r,n/r,fundus,"Hybrid CNN (ResNet50) + handcrafted features (LBP, HOG, SURF) + clinical CDR, mRMR feature selection, classifiers: MLP, GRU, SVM, RF, KNN",Dataset ground-truth labels (ORIGA and DRISHTI-GS1 expert-annotated glaucoma labels),internal,no,any,70.9
Aljohani (2024),2024,n/r,mixed,research,retrospective,2775,n/r,n/r,n/r,n/r,fundus,Hybrid ensemble: ResNet50 + VGG-16 + Random Forest (GLCM texture features) with 2/3 majority post-processing rule,"Public dataset labels (ACRIMA, G1020, ORIGA, REFUGE)",internal,no,any,n/r
Sun (2021),2021,South Korea,Asia,hospital,retrospective,777,462,315,n/r,n/r,OCT,DICNN (VGG16-based dual-input CNN); VGG16 (RNFL); VGG16 (GCIPL); fused-output ensemble,Clinical POAG diagnosis: neuroretinal rim thinning/notching on stereo disc photography + corresponding RNFL defects on red-free RNFL photography with open angles (VF defect not required),internal,no,POAG,59.46
An (2019),2019,Japan,Asia,hospital,cross-sectional,357,208,149,50.9,49.6,multimodal,"VGG19 CNN (5 separate models) + Random Forest ensemble (n_trees=10,000)","Unanimous diagnosis by 3 masked ophthalmologists: glaucomatous optic neuropathy with corresponding visual field defects (Humphrey 24-2, Anderson-Patella criteria), reduced cpRNFLT, and open angle on gonioscopy",internal,yes,POAG,58.3
Mrad (2022),2022,Tunisia,mixed,research,cross-sectional,185,96,89,53,n/r,fundus,SVM (RBF kernel) with vessel-centroid NRR and ISNT features,"Ophthalmologist-labelled ground truth from public datasets (DRISHTI-GS, DRIONS-DB) and expert ophthalmologist annotation (RIAMP)",internal,no,POAG,51.9
Lee (2020),2020,South Korea,Asia,hospital,retrospective,282,86,196,62.5,62.4,OCT,NASNet-A (large) bottleneck features + fully-connected deep neural network (ensemble training model),"Glaucomatous optic disc change on stereo disc photographs or RNFL defect on red-free fundus photographs, adjudicated by 3 glaucoma specialists",internal,no,GON,30.5
