study_id,title,patient_selection_judgment,patient_selection_support,index_test_judgment,index_test_support,reference_standard_judgment,reference_standard_support,flow_timing_judgment,flow_timing_support,analysis_data_handling_judgment,analysis_data_handling_support,applicability_patients,applicability_index_test,applicability_reference_standard,overall_bias,overall_applicability,reviewer,assessment_date,notes
ST027,Artificial intelligence-assisted glaucoma detection on color fundus images: with comorbidity and cross-institutional analysis,High,The study used a retrospective hospital training set plus selected internal comorbidity and external validation datasets rather than a consecutive screening cohort.,Low,Automated AI model applied to color fundus photographs. The index test was algorithmic rather than manually interpreted at the point of classification.,Low,"Reference standard based on clinical+oct, which is closer to a clinical glaucoma diagnosis than benchmark labels alone.",Low,"All analyzed eyes or images appear to have both index-test output and a reference label, and no major timing issue is described in the abstract.",Low,"Independent validation or geographically separate test data were reported, which reduces analysis-related optimism.",Low,Low,Low,High,Low,AI-draft (Codex),2026-04-16,QUADAS-3 draft refined with PDF-grounded study-specific override on 2026-04-16.
ST060,Prospective pragmatic trial of automated retinal photography and AI glaucoma screening in Australian primary care,Low,"Prospective pragmatic trial primary care (Australian vision centers) cohort using private. Population is closer to intended clinical or screening use, although abstract-level reporting of consecutive sampling is limited.",Low,Automated AI model applied to color fundus photographs. The index test was algorithmic rather than manually interpreted at the point of classification.,Low,"Reference standard based on ophthalmologist evaluation for referrals, which is closer to a clinical glaucoma diagnosis than benchmark labels alone.",High,"Specialist verification appears limited to referred or positive cases, creating possible partial-verification bias.",Low,Performance was evaluated within a reported clinical or screening workflow rather than only through internal benchmark splits.,Low,Low,Low,High,Low,AI-draft (Codex),2026-04-16,QUADAS-3 draft refined with PDF-grounded study-specific override on 2026-04-16.
ST003,A Deep Learning Model for Glaucoma Detection Outperforms Conventional Metrics,High,The evaluation used curated disease and healthy cohorts rather than a consecutive or random clinical screening population.,Low,Automated AI model applied to ophthalmic images. The index test was algorithmic rather than manually interpreted at the point of classification.,Low,"Reference standard based on oct expert reading center, which is closer to a clinical glaucoma diagnosis than benchmark labels alone.",Low,"All analyzed eyes or images appear to have both index-test output and a reference label, and no major timing issue is described in the abstract.",Low,"The model was tested on three unseen datasets rather than only on the training cohort, which reduces internal-only optimism.",High,Low,Low,High,High,AI-draft (Codex),2026-04-16,QUADAS-3 draft refined with PDF-grounded study-specific override on 2026-04-16.
ST108,Diagnostic Performance of Offline Medios AI for Glaucoma in Rural Tele-Ophthalmology,Low,Prospective cross-sectional from 6 satellite vision centers of tertiary eye hospital. 303 participants in primary eye care setting. Real-world tele-ophthalmology screening scenario.,Low,Medios offline AI-Glaucoma software analyzing 42-degree disc-centric fundus images from Remidio FOP NM-10. Fully automated. Results masked from tele-ophthalmologists.,Low,Glaucoma specialist at base hospital with comprehensive evaluation including Humphrey VF and OCT. Only AI/tele-ophthalmologist-flagged patients received full workup.,High,Partial verification bias: only participants flagged by AI or tele-ophthalmologist as suspect/glaucoma received full specialist evaluation. Normals not verified.,High,"Partial verification bias: sensitivity/specificity vs glaucoma specialist only assessable in referred subgroup (56 patients), not full 299. Primary comparison (AI vs tele-ophthalmologist) uses all 299 but against non-gold-standard reference.",Low,Low,Low,Low,Low,AI-draft (Claude),2026-04-15,"Medios AI offline in rural tele-ophthalmology. India, n=303 (299 analyzed). Sens 0.91 (CI 0.71-0.99), Spec 0.93 (CI 0.89-0.96) vs tele-ophth. MAJOR: partial verification bias - normals not verified by specialist."
ST054,"Multi-GlaucNet: A multi-task model for optic disc segmentation, blood vessel segmentation and glaucoma detection",High,"Retrospective evaluation on public (REFUGE, ACRIMA) within a public dataset design, using preselected benchmark datasets rather than consecutively recruited clinical patients.",Low,Automated AI model applied to fundus photographs and/or OCT images. The index test was algorithmic rather than manually interpreted at the point of classification.,High,Reference standard came from public dataset labels on REFUGE and ACRIMA rather than a participant-level clinical glaucoma workup.,Low,Curated retrospective datasets provided paired images and reference labels for analysis; no separate timing concern was reported.,High,"Model development and testing relied mainly on retrospective benchmark datasets with experimental internal or cross-dataset evaluation, limiting confidence in real-world generalizability.",High,Low,High,High,High,AI-draft (Codex),2026-04-16,QUADAS-3 draft refined with PDF-grounded study-specific override on 2026-04-16.
ST092,Attention Mechanism-Based Glaucoma Classification Model Using Retinal Fundus Images,High,"Retrospective evaluation on ODIR within a single-center design, using preselected benchmark datasets rather than consecutively recruited clinical patients.",Low,Automated AI model applied to color fundus photographs. The index test was algorithmic rather than manually interpreted at the point of classification.,High,Reference standard relied on dataset labels from ODIR rather than a participant-level clinical glaucoma workup using structure and function.,Low,Analyzed eyes or images appear to have paired index-test outputs and reference labels within the retrospective dataset split used for model development and testing.,High,"Model development and testing relied mainly on retrospective benchmark datasets with experimental internal or cross-dataset evaluation, limiting confidence in real-world generalizability.",High,Low,High,High,High,AI-draft (Codex),2026-04-16,QUADAS-3 draft populated from 03_Studies metadata and matched abstract/full-text evidence on 2026-04-16.
ST088,Artificial intelligence in glaucoma detection using color fundus photographs,High,"Retrospective not extractable study using 975 images (535 normal, 440 GON); the paper describes selected normal-versus-glaucoma groups or internal train/test splits rather than a consecutive clinical series.",Low,Automated AI model applied to color fundus photographs. The index test was algorithmic rather than manually interpreted at the point of classification.,Low,"Reference standard based on glaucoma specialist, which is closer to a clinical glaucoma diagnosis than benchmark labels alone.",Low,Analyzed eyes or images appear to have paired index-test outputs and reference labels within the retrospective dataset split used for model development and testing.,High,Model performance appears to rely on retrospective internal dataset splitting without a clearly independent external validation cohort.,High,Low,Low,High,High,AI-draft (Codex),2026-04-16,QUADAS-3 draft populated from 03_Studies metadata and matched abstract/full-text evidence on 2026-04-16.
ST022,Application effect of an artificial intelligence-based fundus screening system: evaluation in a clinical setting and population screening,Low,"Prospective clinical + population screening cohort using 637 clinic images. Population is closer to intended clinical or screening use, although abstract-level reporting of consecutive sampling is limited.",Low,Automated AI model applied to color fundus photographs. The index test was algorithmic rather than manually interpreted at the point of classification.,Low,The paper used ophthalmologist-derived gold-standard referral decisions as the comparator for referable glaucoma detection in the clinical and population-screening settings.,High,"The paper does not show that all population-screening participants underwent the same gold-standard referral verification, creating concern for incomplete verification.",Low,Performance was evaluated within a reported clinical or screening workflow rather than only through internal benchmark splits.,Low,Low,High,High,High,AI-draft (Codex),2026-04-16,QUADAS-3 draft refined with PDF-grounded study-specific override on 2026-04-16.
ST074,Analysis of Asymmetry between Both Eyes in Early Diagnosis of Glaucoma,High,"Hospital-based sample from single center (Hospital General Universitario Reina Sofia, Murcia). 208 patients (161 healthy, 47 glaucoma). Case-control design.",Low,"Automated ML classifiers (decision trees, SVM) using asymmetry features from fundus images and OCT. No human interpretation in classification.",Low,Ophthalmologist diagnosis as reference standard. Clinical examination-based glaucoma diagnosis.,Low,All patients received both retinal imaging/OCT and clinical assessment. Cross-sectional design.,Low,"Asymmetry features between both eyes clearly defined. Multiple ML models compared. Performance metrics well-reported (sens 80.9%, spec 88.2% for OCT).",High,Low,Low,High,High,AI-draft (Claude),2026-04-15,"Asymmetry-based ML classifiers. OCT best: sens 80.9%, spec 88.2%. Spain, single center. n=208."
ST078,Application of DL system in glaucoma screening and classification with fundus,High,"Case-control from tertiary referral hospital. Only 222 patients. Pre-perimetric glaucoma excluded. Significant age difference (48 vs 61 years, p<0.001).",Low,Fully automated EfficientNet-b0 CNN. Standardized image preprocessing. No human interpretation in classification.,Low,"Clinical diagnosis at tertiary hospital including IOP, optic nerve, RNFL, and VF assessment. Standard glaucoma diagnostic criteria.",Low,All enrolled patients received both fundus imaging and clinical assessment. No differential verification.,High,Multiple images per eye (~4.4 images/eye) with unclear eye-level leakage prevention. Best model chosen by F1 from 5-fold CV - potential optimistic bias. Small test set (70 eyes).,High,Low,Low,High,High,AI-draft (Claude),2026-04-15,"EfficientNet-b0. AUC=0.98 eye-based. Taiwan, single center, 222 patients. HTG/NTG subclassification attempted."
