study_id,first_author,year,n_arms,ai_systems,RoB_PatientSelection,RoB_IndexTest,RoB_ReferenceStandard,RoB_FlowTiming,App_PatientSelection,App_IndexTest,App_ReferenceStandard,App_FlowTiming,AI_ProspectiveValidation,AI_LockedVersion,AI_ExternalDataset,AI_NoTrainingOverlap,AI_TRIPOD_AI_Reporting,Notes,Reviewer,Assessed_at
30765436,Grzybowski A,2024,2.0,IDx-DR · RetCAD,Low,Low,Low,High,Low,Low,Low,Low,No,Yes,Yes,Unclear,Yes,"Retrospective consecutive screening cohort, 3 masked graders with majority consensus; flow concern — split grader teams (Polish vs Indian), no adjudication, 107 excluded for IDx-DR-defined quality.",claude-opus-auto,2026-05-17T16:50:22
31335200.0,Bhaskaranand M,2019,1.0,EyeArt,Low,Low,High,Low,Low,Low,Unclear,Low,No,Yes,Yes,Yes,Yes,"Retrospective 101,710 consecutive encounters across 404 clinics; single EyePACS grader (no per-case adjudication) — authors flag 'lack of adjudicated multiple reader grading' as a limitation; validation data independent from training.",claude-opus-auto,2026-05-17T16:50:30
32174153,van der Heijden A,2018,1.0,IDx-DR,Low,Low,Low,High,Low,Low,Low,Low,Yes,Yes,Yes,Unclear,No,"Consecutive T2DM at Hoorn DCS; IDx-DR 2.0 locked, masked to 3-expert adjudicated reference; but only 898/1415 (63.5%) analysed due to image-quality exclusions — flow/timing High.",claude-opus-auto,2026-05-17T16:50:38
32376611.0,Olvera-Barrios A,2020,1.0,EyeArt,Low,Low,Low,Low,Low,Low,High,Low,Yes,Yes,Yes,Unclear,Yes,"Consecutive NDESP recruitment, locked EyeArt v2.1.0, vendor masked; reference standard is NDESP grading where 'graders are mostly non-medical personnel' — not retinal-specialist as PICO requires.",claude-opus-auto,2026-05-17T16:51:09
32382145,Rogers T,2021,1.0,Pegasus (Visulytix),Low,High,High,Low,Low,High,Unclear,Low,No,Unclear,Yes,Unclear,No,Retrospective; post-hoc operating point 'chosen such that sensitivity and specificity were approximately equal'; ~90% single-grader reference; ICDR/Scottish grading mismatch flagged by authors.,claude-opus-auto,2026-05-17T16:51:38
33719599.0,Mokhashi N,2022,1.0,EyeArt,Low,Low,High,High,Low,Low,High,Low,No,Unclear,Yes,Unclear,No,"Retrospective; primary reference was a single optometrist (paper admits 'Each image was graded by only 1 optometrist'), not ophthalmologist; 80/260 (30.8%) excluded as ungradable.",claude-opus-auto,2026-05-17T16:52:03
35132211.0,Sedova A,2022,1.0,IDx-DR,High,Low,Unclear,Low,High,Low,Low,Low,Yes,Yes,Yes,Unclear,No,Tertiary-referral pilot (n=54) excluding DMO — part of referable DR target; authors admit sample 'not representative of the general population'; reference grader masking/adjudication not described.,claude-opus-auto,2026-05-17T16:52:28
35272972.0,Ruamviboonsuk P,2022,1.0,Google ARDA,Low,Low,Low,Low,Low,Low,Low,Low,Yes,Yes,Yes,Unclear,Yes,Prospective interventional cohort in Thai national DR screening; CE-marked v2 DLS; 3-specialist adjudication masked to DLS; CONSORT-AI followed; no explicit statement on training-set overlap.,claude-opus-auto,2026-05-17T16:52:38
35881410,Li F,2022,1.0,Baidu DR,Low,Low,Low,Low,High,Low,Low,Low,Yes,Yes,Yes,Unclear,Unclear,Prospective 7-hospital validation with masked 2-grader+adjudicator reference; authors acknowledge 'hospital settings...does not align with community screening' — applicability mismatch with rDR screening PICO.,claude-opus-auto,2026-05-17T16:52:56
38738798,Kubin AM,2024,1.0,Retmarker,High,Low,Unclear,Low,High,Low,Low,Low,Yes,Yes,Yes,Unclear,No,"First 106 consecutive screening patients, but 'further 50 patients were evaluated in the hospital's outpatient eye clinic' to enrich severe DR — distorts screening prevalence; adjudication between 2 graders not described.",claude-opus-auto,2026-05-17T16:53:20
39078960,Rao DP,2024,1.0,Medios AI,Low,Low,Low,Low,Low,Low,Low,Low,No,Yes,Yes,Yes,Yes,"Retrospective consecutive enrollment (550 subjects), 3 masked expert graders with senior-retina adjudication, locked Medios AI-DR on Armenian population 'unseen during training'; STARD-style flow.",claude-opus-auto,2026-05-17T16:53:31
39430352,Van TN,2024,1.0,EyeArt,Low,Low,Low,Unclear,Low,Low,Low,Low,No,Yes,Yes,Unclear,No,Retrospective community screening with locked EyeArt v2.0; two masked graders with expert adjudication ('did not know any information about...EyeArt'); 101/684 patients excluded.,claude-opus-auto,2026-05-17T16:53:56
40125479.0,Šín M,2025,1.0,Aireen,Low,Low,Low,High,Low,Unclear,Low,Low,Yes,Yes,Unclear,Unclear,Yes,"Differential reference: DRB adjudicated only the 420 discordant cases while 734 concordant cases used GO+RS+AI agreement; outcome is any DR, not specifically referable DR.",claude-opus-auto,2026-05-17T16:54:22
40340790.0,Abreu-Gonzalez R,2025,1.0,LuxIA,Low,Low,Low,Unclear,Low,Low,Low,Low,Yes,Yes,Yes,Unclear,Yes,Multicentre prospective validation across 5 Spanish hospitals; 3 masked retina specialists as reference; 115/945 (12%) excluded for missing/no-consensus DR scores — flow incompletely reported.,claude-opus-auto,2026-05-17T16:54:30
41257814.0,Guedes I,2025,1.0,EyeArt,Low,Low,High,Low,Low,Low,Low,Low,Yes,Yes,Yes,Yes,No,"Random recruitment from Retisalud screening, locked EyeArt 2.1.0 externally validated; RoB high for reference standard — 'reference standard relied on grading by a single ophthalmologist.'",claude-opus-auto,2026-05-17T16:54:54
41399713,Moya-Sánchez EU,2025,2.0,EyeArt · RAIS-DR,Unclear,Unclear,Low,Low,Low,Low,Low,Low,No,Yes,Yes,Yes,No,Retrospective validation of FDA-approved EyeArt on local Jalisco dataset 'unseen by both systems'; 3-ophthalmologist majority reference; enrollment method and AI-grader masking not stated.,claude-opus-auto,2026-05-17T16:55:21
41611862.0,Hunfeld E,2026,1.0,IDx-DR,Low,Low,High,Low,High,Low,Low,Low,Yes,Yes,Yes,Unclear,Unclear,"Prospective consecutive inpatients at tertiary diabetes center (age 8-92, biased toward referred/sicker cases); locked commercial IDx-DR; single ophthalmologist reference, 'no second or third grader' for adjudication.",claude-opus-auto,2026-05-17T16:55:59
41651934.0,Berrada L,2026,1.0,MONA DR,Low,Low,High,Unclear,Low,Low,Low,Low,Yes,Yes,Yes,Yes,Yes,"Consecutive adults with prospective recruitment and pre-specified thresholds, but reference standard was a single retinal specialist with no adjudication, and 12.8% were excluded with differential characteristics (older, longer diabetes dur",claude-opus-auto,2026-05-17T16:56:20
Abrmoff_2016,Abramoff M,2016,1.0,IDx-DR,High,Low,Low,Low,High,Low,Low,Low,No,Yes,Yes,Yes,No,"Retrospective Messidor-2 public dataset (high-quality images, not screening-representative); IDx-DR X2.1 locked, not trained on Messidor-2; 3-expert adjudicated reference; pre-specified high-sensitivity set points.",claude-opus-auto,2026-05-17T16:56:41
