record_id,study_id,year,three_node,three_node_label,analysis_measure,outcome_family,quantitative_outcome_slot,source_analysis_nodes,source_analysis_node_labels,source_arm_ids,total,events_analysis,analysis_pct,source_page_or_table,source_evidence,studlab
SCR00062,Kim 2025,2025,Carbon_ion,Carbon ion therapy,5y_eye_retention_success,secondary_enucleation,secondary_5y_eye_retention,CIRT,Carbon ion,arm_cirt,192,176,91.66666666666667,Page 3 and Figure 2,"In the PSM cohort, 16 CIRT patients underwent enucleation; 5-year cumulative incidence 8.5%.",Kim 2025 | Carbon_ion
SCR00062,Kim 2025,2025,Carbon_ion,Carbon ion therapy,5y_local_control_success,local_recurrence,primary_5y_local_recurrence,CIRT,Carbon ion,arm_cirt,192,181,94.27083333333333,Page 3 and Figure 1,"The 5-year local failure rate was 5.6% (95% CI, 2.0%-9.3%) for the CIRT group.",Kim 2025 | Carbon_ion
SCR00062,Kim 2025,2025,Carbon_ion,Carbon ion therapy,5y_metastasis,metastasis,secondary_5y_metastasis,CIRT,Carbon ion,arm_cirt,192,53,27.604166666666668,Page 3 and Figure 1,"The 5-year distant failure rate CIRT: 27.5%, 95% CI 20.6%-34.3%.",Kim 2025 | Carbon_ion
SCR00062,Kim 2025,2025,Carbon_ion,Carbon ion therapy,5y_overall_survival,overall_survival,secondary_5y_overall_survival,CIRT,Carbon ion,arm_cirt,192,156,81.25,Page 3 and Figure 1,"5-year OS (CIRT: 81.0%, 95% CI 75.2%-87.2% vs SABR: 70.9%).",Kim 2025 | Carbon_ion
SCR00119,Zako 2025,2025,Proton,Proton beam therapy,5y_eye_retention_success,eye_retention,secondary_5y_eye_retention,PBT,Proton beam,arm_pbrt,240,204,85,Page 6,The 5-year and 10-year eye preservation in the PBRT cohort was 85% (95% CI 79-89%) and 83%.,Zako 2025 | Proton
SCR00119,Zako 2025,2025,Proton,Proton beam therapy,5y_local_control_success,local_control,primary_5y_local_control,PBT,Proton beam,arm_pbrt,240,230,95.83333333333333,Page 5 and Figure 1,The PBRT cohort had 5-year LC of 96% (92-98%).,Zako 2025 | Proton
SCR00119,Zako 2025,2025,Proton,Proton beam therapy,5y_metastasis_free_survival,metastasis_free_survival,secondary_5y_metastasis_free_survival,PBT,Proton beam,arm_pbrt,240,209,87.08333333333333,Page 8,"The 5-, 10-, and 15-year DM-free rates in the PBRT cohort were 87% (95% CI 82-91%), 81%, and 73%.",Zako 2025 | Proton
SCR00119,Zako 2025,2025,Proton,Proton beam therapy,5y_overall_survival,overall_survival,secondary_5y_overall_survival,PBT,Proton beam,arm_pbrt,240,216,90,Page 8,"The 5-, 10-, and 15-year OS rates were 90% (95% CI 85-94%), 84%, and 76%.",Zako 2025 | Proton
SCR00155,Kornblau 2025,2025,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),5y_enucleation,secondary_enucleation,secondary_5y_enucleation,I125_plaque,I-125 plaque,arm_i125,237,27,11.39240506329114,Page 4 and Figure 1,Enucleation was performed in 29 patients. The Kaplan-Meier estimate of an enucleation event was 11.3% at 5 years.,Kornblau 2025 | Brachytherapy
SCR00155,Kornblau 2025,2025,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),5y_eye_retention_success,eye_retention,secondary_5y_eye_retention,I125_plaque,I-125 plaque,arm_i125,237,210,88.60759493670886,Page 4 and Figure 1,Kaplan-Meier estimate of an enucleation event was 11.3% at 5 years.,Kornblau 2025 | Brachytherapy
SCR00155,Kornblau 2025,2025,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),5y_local_control_success,local_recurrence,primary_5y_local_recurrence,I125_plaque,I-125 plaque,arm_i125,237,213,89.87341772151899,Pages 3-4 and Figure 1,Tumor recurrence was noted in 33 patients. Kaplan-Meier estimate of local recurrence was 10% at 5 years.,Kornblau 2025 | Brachytherapy
SCR00155,Kornblau 2025,2025,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),5y_metastasis,metastasis,secondary_5y_metastasis,I125_plaque,I-125 plaque,arm_i125,237,16,6.751054852320675,Page 4 and Figure 1,Metastasis occurred in 25 patients. Kaplan-Meier estimate was 6.7% at 5 years.,Kornblau 2025 | Brachytherapy
SCR00155,Kornblau 2025,2025,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),complication_cataract_surgery,cataract_surgery,secondary_complications,I125_plaque,I-125 plaque,arm_i125,237,50,21.09704641350211,Page 5,Other observed complications included cataracts (n = 77). Fifty patients underwent cataract extraction.,Kornblau 2025 | Brachytherapy
SCR00155,Kornblau 2025,2025,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),complication_other,other,secondary_complications,I125_plaque,I-125 plaque,arm_i125,237,130,54.85232067510549,Page 5,More than half of the patients developed radiation retinopathy (n = 130).,Kornblau 2025 | Brachytherapy
SCR00155,Kornblau 2025,2025,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),complication_radiation_optic_neuropathy,radiation_optic_neuropathy,secondary_complications,I125_plaque,I-125 plaque,arm_i125,237,109,45.9915611814346,Page 5,"Radiation retinopathy and optic neuropathy were seen in 54.9% and 46%, respectively.",Kornblau 2025 | Brachytherapy
SCR00170,Pors 2025,2025,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),5y_eye_retention_success,eye_retention,secondary_5y_eye_retention,Ru106_plaque,Ru-106 plaque,arm_ru106,719,683,94.99304589707927,Page 1 Abstract and Page 3,"Five-year overall survival, eye retention and local failure rates were 83%, 95%, and 8%, respectively.",Pors 2025 | Brachytherapy
SCR00170,Pors 2025,2025,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),5y_local_control_success,local_control,primary_5y_local_control,Ru106_plaque,Ru-106 plaque,arm_ru106,719,661,91.93324061196105,Pages 3 and 5,"In the complete cohort, the 5-year local failure rate was 8%; discussion states local control (92%).",Pors 2025 | Brachytherapy
SCR00170,Pors 2025,2025,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),5y_metastasis,metastasis,secondary_5y_metastasis,Ru106_plaque,Ru-106 plaque,arm_ru106,719,86,11.96105702364395,Page 3,5-year probability of metastasis was 12% (95% C.I. 9%-14%); 92 patients developed metastases.,Pors 2025 | Brachytherapy
