Study,Year,Test_arm,AI_algorithm,Number_of_human_readers,Reader_experience_yrs,Validation_type,Reference_standard,Threshold_cutoff,Unit,Imaging_modality,Scan_target
Balasubramanian (2018),2018,"HRF database, proposed method",KNN using hybrid GLCM features (homogeneity and correlation) after Haar discrete wavelet transform and PCA,n/r,n/r,internal,binary gold standard vessel segmentations by clinicians/ophthalmology experts,n/r,image,fundus,ONH
Balasubramanian (2018),2018,"RIMONE database, proposed method",KNN using hybrid GLCM features (homogeneity and correlation) after Haar discrete wavelet transform and PCA,n/r,n/r,internal,manual reference segmentations by clinicians/ophthalmology experts,n/r,image,fundus,ONH
David (2023),2023,Proposed SBEFCM + ensemble CNN - LAG dataset,ensemble CNN using AlexNet transfer learning with spatially based ellipse fitting curve model,n/r,n/r,internal,n/r,n/r,image,fundus,ONH/optic disc/optic cup
David (2023),2023,Proposed SBEFCM + ensemble CNN - RIM-ONE dataset,ensemble CNN using AlexNet transfer learning with spatially based ellipse fitting curve model,n/r,n/r,internal,n/r,n/r,image,fundus,ONH/optic disc/optic cup
David (2023),2023,Proposed SBEFCM + ensemble CNN - local retinal glaucoma dataset,ensemble CNN using AlexNet transfer learning with spatially based ellipse fitting curve model,n/r,n/r,n/r,n/r,n/r,image,fundus,ONH/optic disc/optic cup
Christopher (2018),2018,VGG16 native,"VGG16 CNN, randomly initialized",2,n/r,internal,"Masked expert grading of stereoscopic ONH fundus photographs for GON by 2 graders, with third adjudication if disagreement",n/r,image,fundus,ONH
Christopher (2018),2018,VGG16 transfer learning,VGG16 CNN pretrained on ImageNet,2,n/r,internal,"Masked expert grading of stereoscopic ONH fundus photographs for GON by 2 graders, with third adjudication if disagreement",n/r,image,fundus,ONH
Christopher (2018),2018,Inception native,"Inception v3 CNN, randomly initialized",2,n/r,internal,"Masked expert grading of stereoscopic ONH fundus photographs for GON by 2 graders, with third adjudication if disagreement",n/r,image,fundus,ONH
Christopher (2018),2018,Inception transfer learning,Inception v3 CNN pretrained on ImageNet,2,n/r,internal,"Masked expert grading of stereoscopic ONH fundus photographs for GON by 2 graders, with third adjudication if disagreement",n/r,image,fundus,ONH
Christopher (2018),2018,ResNet50 native,"ResNet50 CNN, randomly initialized",2,n/r,internal,"Masked expert grading of stereoscopic ONH fundus photographs for GON by 2 graders, with third adjudication if disagreement",n/r,image,fundus,ONH
Christopher (2018),2018,ResNet50 transfer learning,ResNet50 CNN pretrained on ImageNet,2,n/r,internal,"Masked expert grading of stereoscopic ONH fundus photographs for GON by 2 graders, with third adjudication if disagreement",n/r,image,fundus,ONH
Deperlioglu (2022),2022,Drishti-GS retinal image dataset,8-layer convolutional neural network with CAM XAI,n/r,n/r,internal,diagnosis/labels marked by four glaucoma experts,n/r,image,fundus,ONH
Deperlioglu (2022),2022,ORIGA-Light retinal image dataset,8-layer convolutional neural network with CAM XAI,n/r,n/r,internal,dataset glaucoma-positive/normal labels,n/r,image,fundus,ONH
Deperlioglu (2022),2022,HRF retinal image dataset,8-layer convolutional neural network with CAM XAI,n/r,n/r,internal,"dataset labels for normal, glaucoma, and diabetic retinopathy",n/r,image,fundus,ONH
Ajesh (2020),2020,Proposed Jaya-CSO + RNN,"recurrent neural network trained with Jaya-chicken swarm optimization using hybrid optic disc, blood vessel, and image-level features",n/r,n/r,internal,HRF Image Database labels,n/r,image,fundus,ONH
Hussein (2026),2026,CNN-MLP,"ResNet50 CNN deep features plus handcrafted LBP/HOG/SURF and CDR features with mRMR feature selection, classified by MLP",n/r,n/r,internal,public dataset glaucoma diagnosis labels with OD/OC segmentation masks,n/r,image,fundus,ONH
Hussein (2026),2026,CNN-GRU,"ResNet50 CNN deep features plus handcrafted LBP/HOG/SURF and CDR features with mRMR feature selection, classified by GRU",n/r,n/r,internal,public dataset glaucoma diagnosis labels with OD/OC segmentation masks,n/r,image,fundus,ONH
Hussein (2026),2026,CNN-SVM,"ResNet50 CNN deep features plus handcrafted LBP/HOG/SURF and CDR features with mRMR feature selection, classified by SVM",n/r,n/r,internal,public dataset glaucoma diagnosis labels with OD/OC segmentation masks,n/r,image,fundus,ONH
Hussein (2026),2026,RF,Random Forest classifier using optimized hybrid features,n/r,n/r,internal,public dataset glaucoma diagnosis labels with OD/OC segmentation masks,n/r,image,fundus,ONH
Hussein (2026),2026,KNN,K-nearest neighbors classifier using optimized hybrid features,n/r,n/r,internal,public dataset glaucoma diagnosis labels with OD/OC segmentation masks,n/r,image,fundus,ONH
Hussein (2026),2026,DT,Decision Tree classifier,n/r,n/r,internal,public dataset glaucoma diagnosis labels with OD/OC segmentation masks,n/r,image,fundus,ONH
Aljohani (2024),2024,Hybrid glaucoma detection framework,"ensemble of Random Forest, ResNet50, and VGG-16 with post-processing rule",n/r,n/r,internal,"public dataset labels from ACRIMA, G1020, ORIGA, and REFUGE",glaucoma if at least 2 of 3 models predict glaucoma,image,fundus,ONH
Aljohani (2024),2024,Random Forest,Random Forest using GLCM texture features,n/r,n/r,internal,"public dataset labels from ACRIMA, G1020, ORIGA, and REFUGE",n/r,image,fundus,ONH
Aljohani (2024),2024,ResNet50,ResNet50 CNN,n/r,n/r,internal,"public dataset labels from ACRIMA, G1020, ORIGA, and REFUGE",n/r,image,fundus,ONH
Aljohani (2024),2024,VGG-16,VGG-16 CNN,n/r,n/r,internal,"public dataset labels from ACRIMA, G1020, ORIGA, and REFUGE",n/r,image,fundus,ONH
Sun (2021),2021,DICNN (RNFL/GCIPL),VGG16-based dual-input convolutional neural network,n/r,n/r,internal,"primary open-angle glaucoma diagnosis based on optic disc/RNFL changes with or without glaucomatous visual field defect; normal eyes without ocular abnormalities, normal IOP history, no glaucomatous disc/RNFL defects, and normal HVF",thresholding logit value from ROC curve,eye,OCT,RNFL and macular GCIPL
Sun (2021),2021,VGG16 (RNFL),VGG16 convolutional neural network,n/r,n/r,internal,"primary open-angle glaucoma diagnosis based on optic disc/RNFL changes with or without glaucomatous visual field defect; normal eyes without ocular abnormalities, normal IOP history, no glaucomatous disc/RNFL defects, and normal HVF",thresholding logit value from ROC curve,eye,OCT,RNFL
Sun (2021),2021,VGG16 (GCIPL),VGG16 convolutional neural network,n/r,n/r,internal,"primary open-angle glaucoma diagnosis based on optic disc/RNFL changes with or without glaucomatous visual field defect; normal eyes without ocular abnormalities, normal IOP history, no glaucomatous disc/RNFL defects, and normal HVF",thresholding logit value from ROC curve,eye,OCT,macular GCIPL
Sun (2021),2021,Ensemble model,fused output ensemble of VGG16 RNFL and VGG16 GCIPL,n/r,n/r,internal,"primary open-angle glaucoma diagnosis based on optic disc/RNFL changes with or without glaucomatous visual field defect; normal eyes without ocular abnormalities, normal IOP history, no glaucomatous disc/RNFL defects, and normal HVF",thresholding logit value from ROC curve,eye,OCT,RNFL and macular GCIPL
Lee (2020),2020,Ensemble training model,NASNet-A bottleneck feature extraction with fully connected deep neural network ensemble,3,n/r,internal,"stereo disc photography and red-free RNFL photography by glaucoma specialists, with visual field criteria for glaucomatous visual-field defects",0.5,eye,OCT,GCIPL and RNFL
Lee (2020),2020,GCIPL thickness map,NASNet-A single-modality deep learning model,3,n/r,internal,"stereo disc photography and red-free RNFL photography by glaucoma specialists, with visual field criteria for glaucomatous visual-field defects",n/r,eye,OCT,macula GCIPL
Lee (2020),2020,GCIPL deviation map,NASNet-A single-modality deep learning model,3,n/r,internal,"stereo disc photography and red-free RNFL photography by glaucoma specialists, with visual field criteria for glaucomatous visual-field defects",n/r,eye,OCT,macula GCIPL
Lee (2020),2020,RNFL thickness map,NASNet-A single-modality deep learning model,3,n/r,internal,"stereo disc photography and red-free RNFL photography by glaucoma specialists, with visual field criteria for glaucomatous visual-field defects",n/r,eye,OCT,optic disc RNFL
Lee (2020),2020,RNFL deviation map,NASNet-A single-modality deep learning model,3,n/r,internal,"stereo disc photography and red-free RNFL photography by glaucoma specialists, with visual field criteria for glaucomatous visual-field defects",n/r,eye,OCT,optic disc RNFL
Mrad (2022),2022,DRISHTI-DB,feature extraction with SVM classifier,n/r,n/r,internal,dataset labels/ophthalmologist diagnosis,n/r,image,fundus,ONH
Mrad (2022),2022,DRIONS-DB,feature extraction with SVM classifier,n/r,n/r,internal,dataset labels/ophthalmologist diagnosis,n/r,image,fundus,ONH
Gonzalez-Hernandez (2021),2021,Laguna ONhE GDF,five deep learning models including U-Net and ResNet50-based classifiers,n/r,n/r,internal,clinical diagnosis using glaucomatous visual field loss and/or glaucomatous neuropathy,ROC-derived; not fixed,eye,fundus,ONH
Gonzalez-Hernandez (2021),2021,Laguna ONhE GDF and TCV,five deep learning models including U-Net and ResNet50-based classifiers combined with perimetric TCV,n/r,n/r,internal,clinical diagnosis using glaucomatous visual field loss and/or glaucomatous neuropathy,ROC-derived; not fixed,eye,multimodal,ONH/visual field
Gonzalez-Hernandez (2021),2021,Laguna ONhE GDF and PSDr,five deep learning models including U-Net and ResNet50-based classifiers combined with perimetric PSDr,n/r,n/r,internal,clinical diagnosis using glaucomatous visual field loss and/or glaucomatous neuropathy,ROC-derived; not fixed,eye,multimodal,ONH/visual field
Singh (2024),2024,GWO-CatBoost,Grey Wolf Optimizer feature selection + CatBoost classifier,n/r,n/r,internal,ORIGA dataset ground-truth labels,n/r,image,fundus,ONH
Singh (2024),2024,GWO-Random Forest,Grey Wolf Optimizer feature selection + Random Forest classifier,n/r,n/r,internal,ORIGA dataset ground-truth labels,n/r,image,fundus,ONH
Singh (2024),2024,WOA-SVM,Whale Optimization Algorithm feature selection + SVM classifier,n/r,n/r,internal,ORIGA dataset ground-truth labels,n/r,image,fundus,ONH
Singh (2024),2024,WOA-Random Forest,Whale Optimization Algorithm feature selection + Random Forest classifier,n/r,n/r,internal,ORIGA dataset ground-truth labels,n/r,image,fundus,ONH
Singh (2024),2024,hGWWOA-Ensemble,Hybrid GWO-WOA feature selection + Ensemble classifier (LR+XgBoost+RF+CatBoost+SVM),n/r,n/r,internal,ORIGA dataset ground-truth labels,n/r,image,fundus,ONH
Singh (2024),2024,hGWWOA-Random Forest,Hybrid GWO-WOA feature selection + Random Forest classifier,n/r,n/r,internal,ORIGA dataset ground-truth labels,n/r,image,fundus,ONH
Singh (2021),2021,SVM,support vector machine,n/r,n/r,internal,DRIONS-DB ground truth optic disc labels,n/r,image,fundus,ONH
Singh (2021),2021,KNN,k-nearest neighbors,n/r,n/r,internal,DRIONS-DB ground truth optic disc labels,n/r,image,fundus,ONH
Singh (2021),2021,Naive Bayes,naive Bayes classifier,n/r,n/r,internal,DRIONS-DB ground truth optic disc labels,n/r,image,fundus,ONH
Singh (2021),2021,ANN,artificial neural network,n/r,n/r,internal,DRIONS-DB ground truth optic disc labels,n/r,image,fundus,ONH
Tabei (2025),2025,Proposed smartphone-based 2D-to-3D fundus image glaucoma classifier,Support vector machine with RBF/Gaussian kernel,n/r,n/r,internal,"G1020 labels clinically verified using optic nerve head appearance, RNFL defects, intraocular pressure measurements, and ISNT rule compliance",n/r,image,fundus,ONH
Thiry (2023),2023,PointNet,PointNet geometric deep learning on 3D point cloud,n/r,n/r,internal,"glaucomatous optic neuropathy and/or neuroretinal rim narrowing with repeatable glaucomatous visual field defects; nonglaucoma defined by IOP <21 mmHg, healthy optic discs, and normal visual fields",n/r,image,OCT,ONH
Thiry (2023),2023,3D CNN raw OCT images,3D convolutional neural network,n/r,n/r,internal,"glaucomatous optic neuropathy and/or neuroretinal rim narrowing with repeatable glaucomatous visual field defects; nonglaucoma defined by IOP <21 mmHg, healthy optic discs, and normal visual fields",n/r,image,OCT,ONH
Thiry (2023),2023,3D CNN segmented OCT images,3D convolutional neural network,n/r,n/r,internal,"glaucomatous optic neuropathy and/or neuroretinal rim narrowing with repeatable glaucomatous visual field defects; nonglaucoma defined by IOP <21 mmHg, healthy optic discs, and normal visual fields",n/r,image,OCT,ONH
Thiry (2023),2023,RNFL thickness,none,n/r,n/r,internal,"glaucomatous optic neuropathy and/or neuroretinal rim narrowing with repeatable glaucomatous visual field defects; nonglaucoma defined by IOP <21 mmHg, healthy optic discs, and normal visual fields",all possible RNFL thresholds evaluated for AUC,image,OCT,RNFL
Bhuiyan (2021),2021,"Internal test data from AREDS, SiMES, and RIM-ONE","ensemble of five CNNs (Xception x2, Inception-ResNet-V2, NasNet, Inception-V3) with logistic model tree final classifier",2,n/r,internal,manual vertical cup-to-disc ratio grading with CDR annotator; CDR >0.5 glaucoma suspect,vertical CDR >0.5,image,fundus,ONH
Bhuiyan (2021),2021,External validation on ORIGA-light,"ensemble of five CNNs (Xception x2, Inception-ResNet-V2, NasNet, Inception-V3) with logistic model tree final classifier",2,n/r,external,manual vertical cup-to-disc ratio grading with CDR annotator; CDR >0.5 glaucoma suspect,vertical CDR >0.5,image,fundus,ONH
An (2019),2019,#1 Disc fundus image (green channel),transfer-learned VGG19 CNN,3,n/r,internal,Unanimous diagnosis by three ophthalmologists,n/r,eye,fundus,ONH
An (2019),2019,#2 Disc RNFL thickness map,transfer-learned VGG19 CNN,3,n/r,internal,Unanimous diagnosis by three ophthalmologists,n/r,eye,OCT,ONH/RNFL
An (2019),2019,#3 Macular GCC thickness map,transfer-learned VGG19 CNN,3,n/r,internal,Unanimous diagnosis by three ophthalmologists,n/r,eye,OCT,macula/GCC
An (2019),2019,#4 Disc deviation map,transfer-learned VGG19 CNN,3,n/r,internal,Unanimous diagnosis by three ophthalmologists,n/r,eye,OCT,ONH/RNFL deviation
An (2019),2019,#5 Macular deviation map,transfer-learned VGG19 CNN,3,n/r,internal,Unanimous diagnosis by three ophthalmologists,n/r,eye,OCT,macula/GCC deviation
An (2019),2019,#6 Combination of #2 and #4 (images from disc OCT data),VGG19 feature vectors combined by random forest,3,n/r,internal,Unanimous diagnosis by three ophthalmologists,n/r,eye,OCT,ONH/RNFL
An (2019),2019,#7 Combination of #3 and #5 (images from macular OCT data),VGG19 feature vectors combined by random forest,3,n/r,internal,Unanimous diagnosis by three ophthalmologists,n/r,eye,OCT,macula/GCC
