record_id,study_id,year,design,population_status,include_tier,endpoint_definition,timepoint_type,followup_summary,arm_id,analysis_node,node_5,node_3,treatment_label,total,local_control_events,local_failure_events,local_control_pct,source_page_or_table,source_evidence,notes
SCR00002,Jarczak 2026,2026,Retrospective comparative cohort,Mixed uveal; choroidal percentage not clearly reported,core_crude_uveal_relaxed,crude local control at last follow-up,crude_at_followup,Mean follow-up 88.63 months; median 89 months; range 20-127,arm_i125,I125_plaque,I-125 plaque,Brachytherapy,I-125 brachytherapy,102,93,9,91.18,Table 3 / Treatment outcomes,"Local tumor control rates were 88.51% Ru-106 CCB, 89.47% Ru-106 COB, 91.18% I-125, and 93.15% proton therapy.",Sensitivity only under current choroidal-only eligibility rule.
SCR00002,Jarczak 2026,2026,Retrospective comparative cohort,Mixed uveal; choroidal percentage not clearly reported,core_crude_uveal_relaxed,crude local control at last follow-up,crude_at_followup,Mean follow-up 88.63 months; median 89 months; range 20-127,arm_proton,PBT,Proton beam,Proton,Proton therapy,73,68,5,93.15,Table 3 / Treatment outcomes,"Local tumor control rates were 88.51% Ru-106 CCB, 89.47% Ru-106 COB, 91.18% I-125, and 93.15% proton therapy.",Sensitivity only under current choroidal-only eligibility rule.
SCR00002,Jarczak 2026,2026,Retrospective comparative cohort,Mixed uveal; choroidal percentage not clearly reported,core_crude_uveal_relaxed,crude local control at last follow-up,crude_at_followup,Mean follow-up 88.63 months; median 89 months; range 20-127,arm_ru106_ccb,Ru106_plaque,Ru-106 plaque,Brachytherapy,Ru-106 CCB brachytherapy,87,77,10,88.51,Table 3 / Treatment outcomes,"Local tumor control rates were 88.51% Ru-106 CCB, 89.47% Ru-106 COB, 91.18% I-125, and 93.15% proton therapy.",Sensitivity only under current choroidal-only eligibility rule.
SCR00002,Jarczak 2026,2026,Retrospective comparative cohort,Mixed uveal; choroidal percentage not clearly reported,core_crude_uveal_relaxed,crude local control at last follow-up,crude_at_followup,Mean follow-up 88.63 months; median 89 months; range 20-127,arm_ru106_cob,Ru106_plaque,Ru-106 plaque,Brachytherapy,Ru-106 COB brachytherapy,38,34,4,89.47,Table 3 / Treatment outcomes,"Local tumor control rates were 88.51% Ru-106 CCB, 89.47% Ru-106 COB, 91.18% I-125, and 93.15% proton therapy.",Sensitivity only under current choroidal-only eligibility rule.
SCR00036,Murtagh 2026,2026,Retrospective comparative cohort from prospectively maintained database,Choroidal-only,core_crude_choroidal,crude local control at last follow-up,crude_at_followup,"Mean follow-up 76.9 months; treatment-group means 85.6, 77.5, and 65.0 months",arm_i125,I125_plaque,I-125 plaque,Brachytherapy,I-125 brachytherapy,72,69,3,95.83,Results / Tumour control section,"Local tumour control was achieved in 95.8%; recurrence rates were 4.0%, 4.2%, and 4.8% for Ru-106, I-125, and PBR, respectively.","Excluded from strict primary only because outcome is crude, not 5-year actuarial/KM."
SCR00036,Murtagh 2026,2026,Retrospective comparative cohort from prospectively maintained database,Choroidal-only,core_crude_choroidal,crude local control at last follow-up,crude_at_followup,"Mean follow-up 76.9 months; treatment-group means 85.6, 77.5, and 65.0 months",arm_pbr,PBT,Proton beam,Proton,Proton beam radiotherapy,63,60,3,95.24,Results / Tumour control section,"Local tumour control was achieved in 95.8%; recurrence rates were 4.0%, 4.2%, and 4.8% for Ru-106, I-125, and PBR, respectively.","Excluded from strict primary only because outcome is crude, not 5-year actuarial/KM."
SCR00036,Murtagh 2026,2026,Retrospective comparative cohort from prospectively maintained database,Choroidal-only,core_crude_choroidal,crude local control at last follow-up,crude_at_followup,"Mean follow-up 76.9 months; treatment-group means 85.6, 77.5, and 65.0 months",arm_ru106,Ru106_plaque,Ru-106 plaque,Brachytherapy,Ru-106 brachytherapy,175,168,7,96.0,Results / Tumour control section,"Local tumour control was achieved in 95.8%; recurrence rates were 4.0%, 4.2%, and 4.8% for Ru-106, I-125, and PBR, respectively.","Excluded from strict primary only because outcome is crude, not 5-year actuarial/KM."
SCR00062,Kim 2025,2025,Retrospective comparative cohort with propensity score matching,Choroidal-only,strict_5y_km_not_crude,5-year Kaplan-Meier local failure converted to local control,kaplan_meier_5y,Median follow-up 70.2 months for CIRT and 51.9 months for SABR,arm_cirt,CIRT,Carbon ion,Carbon ion,Carbon ion radiotherapy,192,181,11,94.27,Results,5-year local failure rate 5.6% for CIRT.,"Connects Carbon ion to Photon in original FIG6, but it is not crude follow-up local control."
SCR00062,Kim 2025,2025,Retrospective comparative cohort with propensity score matching,Choroidal-only,strict_5y_km_not_crude,5-year Kaplan-Meier local failure converted to local control,kaplan_meier_5y,Median follow-up 70.2 months for CIRT and 51.9 months for SABR,arm_sabr,Photon_SRS_FSRT,Photon SRS/FSRT,,Photon SABR,64,55,9,85.94,Results,5-year local failure rate 13.4% for SABR.,"Connects Carbon ion to Photon in original FIG6, but it is not crude follow-up local control."
SCR00201,Grajewski 2025,2025,Retrospective case series,Mixed uveal unclear choroidal proportion,core_crude_uveal_relaxed,crude local control,crude_at_followup,"Mean follow-up 66 months, range 6-136",arm_ru106,Ru106_plaque,Ru-106 plaque,Brachytherapy,Ru-106 plaque,56,48,8,85.71,Page 5,"Overall, the local tumor control rate was 85.7% (48/56).","Crude follow-up control, not 5-year actuarial local control; choroidal-only proportion unclear."
SCR00201,Grajewski 2025,2025,Retrospective case series,Mixed uveal unclear choroidal proportion,core_crude_uveal_relaxed,crude local recurrence converted to local control,crude_at_followup,"Mean follow-up 66 months, range 6-136",arm_ru106,Ru106_plaque,Ru-106 plaque,Brachytherapy,Ru-106 plaque,56,48,8,85.71,Pages 3 and 5,Eight eyes (14.3%) showed a recurrence during the follow-up period.,"Crude follow-up recurrence, not 5-year KM/actuarial endpoint."
SCR00328,Wu 2023,2023,Retrospective chart review,Choroidal-only,core_crude_choroidal,crude local recurrence converted to local control,crude_at_followup,"Median ocular follow-up 6.9 years, range 1.0-30.2; median survival follow-up 13.7 years",arm_pbt,PBT,Proton beam,Proton,Proton beam,222,219,3,98.65,Page 3,Tumor recurrence was diagnosed in 3 patients (1.4%),Crude recurrence count; no 5-year local-recurrence estimate reported.
