Study,Codex_Study_Label,Year,Country,Continent,Setting,Design,N_total,N_glaucoma,N_nonglaucoma,Age_mean,Sex_female_pct,Imaging_modality,AI_system,Reference_standard,Validation_type,Vendor_involvement,Glaucoma_target,Prevalence_pct,Scan_target,Glaucoma_definition
David (2023),David (2021),2021,"China, India",Asia,mixed,retrospective,13258,5048,8210,53.6,53.6,fundus,Ensemble CNN with spatially based ellipse fitting curve model (SBEFCM),n/r,both,no,any,38.1,,
Balasubramanian (2018),Balasubramanian (2018),2018,mixed,mixed,research,retrospective,120,60,60,n/r,n/r,fundus,"Hybrid features using Haar Discrete Wavelet Transform, GLCM homogeneity and correlation, PCA, and k-nearest neighbor classifier",HRF and RIMONE benchmark database labels/manual reference segmentations by clinicians/experts,internal,unclear,any,50,,
Ajesh (2020),Ajesh (2020),2020,n/r,n/r,research,retrospective,45,15,30,n/r,n/r,fundus,"Jaya-CSO optimized recurrent neural network using optic disc, blood vessel, and image-level features; comparators included DCNN, DeepRNN, holoentropy-based decision tree, and DeepRNN+Jaya",HRF Image Database diagnostic category labels; exact clinical reference standard not reported,internal,no,any,33.3,,
Christopher (2018),Christopher (2018),2018,United States,North America,research,cross-sectional,14822 images,5633 images,9189 images,Healthy 53.3 ± 14.4; GON 64.0 ± 12.9,Healthy 63.0; GON 57.0,fundus,"CNN architectures: VGG16, Inception v3, ResNet50; native and ImageNet transfer learning","Expert-adjudicated review of stereoscopic optic nerve head fundus photographs by masked graders, with third experienced grader adjudication for disagreements",internal,no,glaucomatous optic neuropathy,38.0 images,,
Deperlioglu (2022),Deperlioglu (2022),2022,"mixed (India, Singapore, HRF public dataset not specified)",mixed,research,retrospective,796,253,543,n/r,n/r,fundus,"XAI-supported 8-layer CNN with HE/CLAHE preprocessing and CAM; A-G-CAM, G-CAM, and ABN variants evaluated by accuracy only",expert/doctor-labelled public retinal image datasets; Drishti-GS marked by 4 glaucoma experts; ORIGA-Light from SIMES clinical eye examinations; HRF labels/segmentations by experts/doctors,internal,no,any,31.8,,
Aljohani (2024),Aljohani (2024),2024,mixed public datasets; source countries n/r,mixed,research,retrospective,480,180,300,n/r,n/r,fundus,"Hybrid ensemble glaucoma detection framework using Random Forest with GLCM texture features, ResNet50, VGG-16, and post-processing rule; individual Random Forest, ResNet50, and VGG-16 models also reported","Original glaucoma/normal labels from public fundus datasets ACRIMA, G1020, ORIGA, and REFUGE; underlying clinical reference standard n/r",internal,no,any,37.5,,
An (2019),An (2019),2019,Japan,Asia,hospital,cross-sectional,357,208,149,50.85 years,n/r,multimodal,Transfer-learned VGG19 CNN feature extractors combined with random forest; random forest using OCT quantified parameters comparator,"Unanimous diagnosis by three ophthalmologists; OAG diagnosed from glaucomatous optic neuropathy with corresponding visual field defects, abnormally reduced circumpapillary RNFL thickness, and open angle on gonioscopy; controls had normal OCT measurements and no ocular/systemic disease affecting visual field, elevated IOP, or glaucomatous optic disc",internal,yes,POAG,58.3,,
Hussein (2026),Hussein (2026),2026,n/r,mixed,research,retrospective,3000,1560,1440,n/r,n/r,fundus,"Hybrid CNN/ResNet50 deep features plus handcrafted LBP, HOG, SURF and CDR features with mRMR feature selection; classifiers include MLP, GRU, SVM, RF, KNN, DT; U-Net segmentation",Public dataset glaucoma/healthy labels and OD/OC segmentation masks; clinical reference standard otherwise not reported,internal,unclear,any,52.0,,
Sun (2021),Sun (2021),2021,South Korea,Asia,hospital,retrospective,777,462,315,n/r,n/r,OCT,Dual-input convolutional neural network (DICNN); VGG16 RNFL-only; VGG16 GCIPL-only; VGG16 RNFL/GCIPL ensemble,"Experienced ophthalmologist diagnosis of POAG based on characteristic optic disc changes on stereoscopic disc photography and RNFL defects on red-free RNFL photographs, with open angles by gonioscopy and Humphrey visual field used for staging/normal control definition",internal,yes,POAG,59.5,,
Mrad (2022),Mrad (2022),2022,Tunisia,Africa,research,cross-sectional,161,90,71,n/r,n/r,fundus,handcrafted vessel-displacement features with SVM classifier,public dataset labels for DRISHTI-DB and DRIONS-DB; ophthalmologist ground truth for RIAMP smartphone/standard images,internal,no,any,55.9,,
Singh (2021),Singh (2021),2021,n/r,n/r,research,cross-sectional,140,70,70,n/r,n/r,fundus,"Feature-based retinal fundus image analysis with SVM, KNN, Naive Bayes, and ANN classifiers",DRIONS-DB ground truth / labeled glaucoma and normal retinal fundus images,internal,no,any,50,,
Singh (2024),Singh (2024),2023,Singapore,Asia,research,retrospective,646,166,480,n/r,n/r,fundus,"GWO, WOA, and hGWWOA feature selection with Logistic Regression, XGBoost, Random Forest, CatBoost, SVM, and ensemble classifiers",ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,internal,no,any,25.7,,
Tabei (2025),Tabei (2025),2025,n/r,n/r,research,retrospective,1020,296,724,n/r,n/r,fundus,Proposed smartphone-based CIE LAB color enhancement/segmentation with stereo disparity depth mapping and RBF/Gaussian-kernel SVM classifier,"G1020 dataset labels; glaucoma clinically verified using optic nerve head appearance, RNFL defects, intraocular pressure measurements, and ISNT rule compliance",internal,unclear,any,29.0,,
Thiry (2023),Thiry (2023),2023,Singapore,Asia,hospital,cross-sectional,2773 participants; 4770 scans,477 participants; 873 scans,2296 participants; 3897 scans,nonglaucoma 58.7 ± 10.3; glaucoma 65.9 ± 10.6,nonglaucoma 39; glaucoma 51,OCT,PointNet geometric deep learning; comparator 3D CNN,"clinical diagnosis based on glaucomatous optic neuropathy and/or neuroretinal rim narrowing with repeatable glaucomatous visual field defects; controls had IOP <21 mmHg, healthy optic discs, and normal visual fields",internal,yes,glaucomatous optic neuropathy,17.2% participants; 18.3% scans,,
Buisson (2021) SR,Buisson (2021) SR,2021,"mixed: USA, Australia, Japan, China, United Kingdom",mixed,mixed,mixed,1392 eyes,684 eyes,708 eyes,65.6 glaucoma; 60.5 control,48 glaucoma; 55 control,fundus,"Deep learning systems across included studies: Pegasus, ResNet, VGG-16, Inception-V3",glaucomatous optic neuropathy diagnosis from online datasets or clinician diagnosis with complete medical record; one study used OCT plus repeatable abnormal visual field,mixed,unclear,glaucomatous optic neuropathy,48,,
Gonzalez-Hernandez (2021),Gonzalez-Hernandez (2021),2021,Spain,Europe,hospital,retrospective,810,333,477,controls 44.56 +/- 13.23; glaucoma 63.63 +/- 11.74,57.7,multimodal,Laguna ONhE fully automated colorimetric optic nerve analysis with five deep learning models including U-Net and ResNet50; GDF index,"Clinical classification: confirmed glaucoma based on glaucomatous visual field loss in standard automated perimetry plus glaucomatous neuropathy signs by Laguna ONhE GDF or OCT rim area <5%; suspects based on ocular hypertension, borderline visual fields, or dubious optic disc; healthy controls had IOP <21 mmHg and no abnormal visual field or optic disc findings.",internal,yes,POAG,41.1,,
Cao (2023),Cao (2023),2023,China,Asia,mixed,cross-sectional,637,55,582,48.18,51.68,fundus,Kangrui Intelligent Technology AI-based fundus screening software,Gold standard referral diagnosis by two experienced ophthalmic chief clinicians; disagreements adjudicated by a third chief clinician using international diagnostic criteria,external,yes,other,8.63,,
Bhuiyan (2021),Bhuiyan (2021),2021,United States; Singapore; Spain,mixed,research,retrospective,938,306,632,n/r,n/r,fundus,"iPredict glaucoma CDR model: ensemble of Xception, Inception-ResNet-V2, NasNet, and Inception-V3 CNNs with logistic model tree",Semi-automated/manual vertical cup-to-disc ratio grading using CDR annotator; glaucoma suspect defined as vertical CDR > 0.5 and nonsuspect as CDR <= 0.5,both,yes,other,32.62,,
Chai (2018),Chai (2018),2018,China,Asia,hospital,retrospective,2554,1023,1531,n/r,n/r,fundus,"Multi-branch neural network (MB-NN); benchmark models LR-LBP, LR-HOS, LR-DWT, LR-SIFT, AlexNet, VGG16, Inception-v3, CNN, and MB-NN ablations",Hospital diagnosis result from case reports/clinical records,internal,no,any,40.1,,
Lee (2020),Lee (2020),2020,South Korea,Asia,hospital,retrospective,282 eyes/participants; 657 OCT image sets,86 eyes; 350 image sets,196 controls; 307 image sets,62.5,62.4,OCT,NASNet-A transfer-learning deep learning classifier; ensemble model using GCIPL and RNFL SD-OCT thickness and deviation maps,"Glaucoma diagnosis by characteristic optic disc change on stereo disc photographs and/or RNFL defect on red-free fundus photographs, assessed by masked glaucoma specialists; controls had no IOP elevation, no glaucomatous optic disc/RNFL defects, and normal visual fields",internal,no,glaucomatous optic neuropathy,30.5 by participants; 53.3 by image sets,,
Chakrabarty (2016),Chakrabarty (2016),2016,India,Asia,hospital,cross-sectional,314,169,145,n/r,n/r,fundus,Automated CAD system using optic nerve head topographic features with a cascade-forward neural network classifier,"Consensus masked clinical examination by 2 independent glaucoma specialists, including history, slit-lamp examination, Goldmann applanation IOP, gonioscopy, visual field testing, and OCT/HRT when needed",external,no,any,53.8,,
Chang (2023),Chang (2023),2023,Taiwan,Asia,hospital,retrospective,430,283,147,n/r,n/r,multimodal,GAN fundus-to-OCT generator with VGG19 glaucoma classifier; transfer learning and incremental learning; ResNet-18 and DenseNet-20 comparators,Two glaucoma physicians judged and labeled images as glaucoma or non-glaucoma,internal,no,any,65.8,,
Cho (2024),Cho (2024),2024,China,Asia,hospital,retrospective,144,72,72,n/r,n/r,fundus,"Attention mechanism-based multi-input CNN using preprocessed fundus images, ResU-Net retinal vessel extraction, and Hough Circle Transform optic disc extraction",ODIR dataset labels diagnosed by ophthalmologists with trained reader annotations and quality control,internal,no,any,50,,
Chen (2025),Chen (2025),2025,Taiwan; India; China; Austria,mixed,mixed,retrospective,2634,852,1782,n/r,n/r,fundus,"Stepwise AI pipeline using green-channel preprocessing, CLAHE and unsharp masking, DeepLabV3+ with MobileNet-V2 ROI segmentation, and EfficientNetV2-M glaucoma classifier; reported variants: TVGH-Original, TVGH-Green Channel, TVGH-Preprocessing, TVGH-Segmentation, TVGH-Weighted","Expert consensus/majority grading; TVGH glaucoma defined by characteristic optic nerve head changes with reproducible visual field defects, and controls by IOP <21 mmHg with normal optic nerve head and no RNFL defects",both,no,glaucomatous optic neuropathy,32.35,,
Noury (2022),Noury (2022),2022,USA; Hong Kong; India; Nepal,mixed,hospital,retrospective,3371,2095,1276,"n/r overall; glaucoma cases reported by dataset: training 69.41±14.70, validation 70.09±10.37, Stanford test 69.82±16.15, Hong Kong 65.90±9.30, India 63.84±11.72, Nepal 45.34±17.08","n/r overall; female:male reported as training 55:45, Hong Kong 67:33, India 40:60, Nepal 40:60",OCT,3D convolutional neural network for SD-OCT optic nerve head cube scans; Grad-CAM/DiagFind saliency and cropping augmentation,"Glaucoma specialist/chart-review diagnosis using multimodal clinical data including fundus examination/images, visual fields, OCT RNFL/GCIPL maps, IOP, treatment, and clinical history; external datasets labeled by glaucoma specialists",both,yes,any,62.15,,
Thakoor (2021),Thakoor (2021),2021,USA,North America,research,cross-sectional,1770,602,1168,GS median 53 +/- 16; DS median 57 +/- 13,n/r,OCT,CNN A: ResNet18 + random forest; CNN B: convolutional layers + dense layers; CNN C: ResNet50 + random forest,Expert ratings of OCT reports/images and/or visual field information on a 0%-100% glaucoma probability scale; glaucomatous >50%. Main RS included RS1 report-based single expert ratings and RS4 consensus of multiple experts using OCT plus visual field.,both,yes,glaucomatous optic neuropathy,34.0,,
Gomez-Valverde (2019),Gomez-Valverde (2019),2019,Spain; India,mixed,mixed,cross-sectional,2313,494,1819,n/r,n/r,fundus,"CNNs: Standard CNN, VGG19, ResNet50, GoogLeNet, DENet Disc, transfer learning/fine-tuning variants, image-clinical data fusion",Specialist ophthalmologist classification; ESPERANZA gold standard by consensus of at least two ophthalmologists,internal,no,any,21.36,,
Elangovan (2022),Elangovan (2022),2022,mixed,mixed,research,retrospective,15555,9853,5702,n/r,n/r,fundus,En-ConvNet ensemble of pre-trained CNNs with probability averaging and SVM final classifier,"diagnostic labels from public retinal image databases: DRISHTI-GS1, ORIGA, RIM-ONE2, LAG, and ACRIMA",internal,no,glaucomatous optic neuropathy,63.34,,
Chuter (2026),Chuter (2026),2026,United States,North America,research,retrospective,1098,668,430,60.3,58.8,multimodal,"RETFound; unimodal CFP RETFound, unimodal OCT RETFound, multimodal CFP + OCT RETFound","Photograph-based glaucomatous optic neuropathy on masked expert color fundus photograph review, with or without repeatable glaucomatous visual field damage; healthy eyes required no glaucomatous CFP damage, no glaucomatous VF damage, and IOP <22 mmHg",internal,unclear,glaucomatous optic neuropathy,60.8,,
Eswari (2024),Eswari (2024),2024,Germany; Japan; n/r,mixed,research,retrospective,1465,296,724,n/r,n/r,fundus,TernausNet with FRCNN/AFRCNN/SVM/AAASVM,public dataset labels; n/r,external,no,any,29.02,,
Bowd (2023),Bowd (2023),2023,United States,North America,research,cross-sectional,593,463,130,"67.1 calculated from group means; healthy 52.1, glaucoma 71.3","55.3 calculated from group percentages; healthy 62.1, glaucoma 53.4",multimodal,"VGG-16 CNN models using OCT-derived texture-based en face images, RNFL thickness maps, and cSLO images; multimodal VGG-16 CNN combinations","DIGS conventional standard: glaucomatous visual field loss with corresponding optic disc/parapapillary damage on stereophotographs graded by masked trained observers with adjudication; healthy controls required normal IOP, normal optic discs/RNFL, and normal reliable visual fields",internal,yes,POAG,78.1,,
Lin (2022)b,Lin (2022),2022,United States; China,mixed,research,mixed,41222 images,3986 images,37236 images,n/r,n/r,fundus,POAGNet Siamese neural network; DenseNet-201; EfficientNetB0; MobileV2; ResNet-50; POAGNet absolute distance; POAGNet without side output,"Reading-center/expert grading of optic disc photographs and clinical/visual-field criteria; OHTS labels from optic disc reading center and endpoint committee, SIG labels annotated with glaucomatous optic neuropathy criteria",both,no,POAG,9.67,,
Christopher (2020),Christopher (2020),2020,United States; Japan; Spain,mixed,mixed,mixed,1950,921,1029,subgroup means 51.7-78.7 years; ACRIMA n/r,subgroup means 45.1-68.4; ACRIMA n/r,fundus,"UCSD ResNet50 and UTokyo ResNet34 deep learning classifiers; ImageNet pretrained; original, sequential, and combined training strategies",Dataset-specific: DIGS/ADAGES stereoscopic fundus photograph grading by certified graders with consensus/adjudication; MRCH/Iinan/Hiroshima expert review of fundus plus OCT by glaucoma specialists; ACRIMA single glaucoma expert fundus-photo review,both,yes,glaucomatous optic neuropathy,47.2,,
Sivakumar (2025),Sivakumar (2025),2025,mixed public datasets,mixed,research,retrospective,2874,1120,1754,n/r,n/r,multimodal,Vision Transformer/ResNet50 hybrid models with clinical biomarker fusion using Random Forest,dataset labels from SMDG-19/PAPILA; clinical reference standard not otherwise reported,internal,no,any,39.0,,
Gaddipati (2021),Gaddipati (2021),2021,India; Netherlands; mixed public datasets,mixed,research,retrospective,2168,927,1241,n/r,n/r,fundus,Fefu model; Ff fundus-feature network; Ff-o fundus-to-OCT mapped feature network; OCT-Capsule network; DE-Net; MNet,eye/image-level glaucoma diagnosis for private dataset; public dataset labels; ICD-9 CDR rule for CDR-based comparison,both,no,any,42.76,,
Camacho-Garcia-Forment (2025),Camacho-García-Formentí (2025),2025,Mexico,North America,hospital,cross-sectional,245,46,199,59.1 (SD 15.7),66.0,fundus,retinIA v3.3.1; U-Net optic disc/cup segmentation for CDR estimation with Inception V3-based quality/retinal image analysis,Average cup-to-disc ratio annotated by three ophthalmologists on fundus images; glaucoma suspect defined as CDR >=0.6 or inter-eye CDR difference >0.2,external,yes,glaucomatous optic neuropathy,18.8,,
Garcia (2021),Garcia (2021),2021,Spain,Europe,hospital,retrospective,719,311,408,circ-DB-1: 55.95; circ-DB-2: 60.82; vol-DB-3: 50.13,circ-DB-1: 57.47; circ-DB-2: 56.78; vol-DB-3: 55.50,OCT,RAGNet-VGG16/VGG19 feature extractor; CNN-LSTM volume-based model with sequential-weighting module,"Expert ophthalmologist diagnosis using European guideline-based glaucoma assessment including IOP, gonioscopy, optic nerve head assessment, visual field testing, OCT RNFL/GCIPL assessment; glaucoma visual field defects considered sufficient when repeatable",both,no,any,43.25,,
Fu (2018),Fu (2018),2018,Singapore,Asia,community,cross-sectional,7459,159,7300,n/r,n/r,fundus,Disc-aware Ensemble Network (DENet),Dataset glaucoma labels from SCES and SINDI; diagnostic criteria not reported,external,yes,any,2.13,,
Govindharaj (2025),Govindharaj (2025),2025,n/r,n/r,research,retrospective,650,168,482,n/r,n/r,fundus,Grey Wolf Optimization optimized U-Net++ segmentation with Capsule Network classifier (GWOA-UNet++ + CapsNet),ORIGA dataset labels/ground truth; clinical diagnostic reference standard n/r,internal,no,any,25.8,,
Haider (2022),Haider (2022),2022,mixed,mixed,research,cross-sectional,n/r,n/r,n/r,n/r,n/r,fundus,SLS-Net; SLSR-Net; ResNet-18; ResNet-50,expert-annotated public retinal fundus image datasets; glaucoma labels not further specified,both,no,any,n/r,,
Sangeethaa (2023),Sangeethaa (2023),2023,mixed/public datasets plus India real-time dataset,mixed,mixed,retrospective,2937,897,2040,n/r,n/r,fundus,U-Net segmentation with proposed hybrid PolyNet classifier,Ophthalmologist labels for normal/glaucomatous images and glaucoma severity; manual OD/OC masks by ophthalmologists,internal,no,any,30.5,,
